Nomor,Kecamatan Subdistrict,Luas (km2,Jumlah Pulau
satuan,-,Km²,Km²
tahun,-,2025,2025
,(1),(2),(3)
1,Cipatujah,"241,99",0
2,Karangnunggal,"153,26",0
3,Cikalong,"160,88",0
4,Pancatengah,"162,11",0
5,Cikatomas,"142,21",0
6,Cibalong,"61,74",0
7,Parungponteng,"50,50",0
8,Bantarkalong,"64,15",0
9,Bojongasih,"51,86",0
10,Culamega,"86,29",0
11,Bojonggambir,"126,82",0
12,Sodonghilir,"101,53",0
13,Taraju,"62,99",0
14,Salawu,"70,27",0
15,Puspahiang,"57,65",0
16,Tanjungjaya,"39,11",0
17,Sukaraja,"46,48",0
18,Salopa,"105,01",0
19,Jatiwaras,"89,06",0
20,Cineam,"74,13",0
