Nomor,Kecamatan Subdistrict,Luas,Jumlah Pulau
,(1),(2),(3)
1,Cipatujah,"241,99",-
2,Karangnunggal,"153,26",-
3,Cikalong,"160,88",-
4,Pancatengah,"162,11",-
5,Cikatomas,"142,21",-
6,Cibalong,"61,74",-
7,Parungponteng,"50,50",-
8,Bantarkalong,"64,15",-
9,Bojongasih,"51,86",-
10,Culamega,"86,29",-
11,Bojonggambir,"126,82",-
12,Sodonghilir,"101,53",-
13,Taraju,"62,99",-
14,Salawu,"70,27",-
15,Puspahiang,"57,65",-
16,Tanjungjaya,"39,11",-
17,Sukaraja,"46,48",-
18,Salopa,"105,01",-
19,Jatiwaras,"89,06",-
20,Cineam,"74,13",-
21,Karangjaya,"45,98",-
22,Manonjaya,"43,44",-
23,Gunungtanjung,"47,78",-
24,Singaparna,"20,11",-
25,Sukarame,"16,17",-
26,Mangunreja,"26,72",-
27,Cigalontang,"145,67",-
28,Leuwisari,"31,17",-
29,Sariwangi,"38,55",-
30,Padakembang,"19,55",-
31,Sukaratu,"42,72",-
32,Cisayong,"50,32",-
33,Sukahening,"28,91",-
34,Rajapolah,"16,40",-
35,Jamanis,"15,98",-
36,Ciawi,"44,58",-
37,Kadipaten,"43,05",-
38,Pagerageung,"64,30",-
39,Sukaresik,"17,37",-
,Kabupaten Tasikmalaya,"2.706,82",-
