Kecamatan,Irigasi,Non Irigasi,Jumlah
satuan,Hektar,Hektar,Hektar
tahun,2025,2025,2025
(1),(2),(3),(4)
Cipatujah,"2.489,0","636,0","3.125,0"
Karangnunggal,"1.937,4","717,7","2.655,1"
Cikalong,"2.280,1","449,2","2.729,3"
Pancatengah,"1.595,7","175,0","1.770,7"
Cikatomas,"1.368,4","381,6","1.750,0"
Cibalong,"702,0","21,0","723,0"
Parungponteng,"843,0","90,0","933,0"
Bantarkalong,"747,2","139,9","887,1"
Bojongasih,"628,3","87,0","715,3"
Culamega,"932,0","119,0","1.051,0"
Bojonggambir,"1.431,2","572,9","2.004,1"
Sodonghilir,"1.839,0","143,7","1.982,7"
Taraju,"1.113,0","38,0","1.151,0"
Salawu,"1.456,0","58,4","1.514,4"
Puspahiang,"895,2","77,1","972,3"
Tanjungjaya,"729,0","50,0","779,0"
Sukaraja,"734,2","74,0","808,2"
Salopa,"1.332,0","132,0","1.464,0"
Jatiwaras,"1.147,3","30,8","1.178,1"
Cineam,"619,3","55,0","674,3"
Karangjaya,"349,0","144,0","493,0"
Manonjaya,"655,0","113,9","768,9"
Gunungtanjung,"616,0","133,0","749,0"
Singaparna,"809,0","52,3","861,3"
Mangunreja,"695,0","40,0","735,0"
Sukarame,"839,0","29,0","868,0"
Cigalontang,"2.912,9","298,5","3.211,4"
Leuwisari,"1.001,0","70,0","1.071,0"
Padakembang,"801,0","46,1","847,1"
Sariwangi,"834,0","32,0","866,0"
Sukaratu,"1.430,0","107,8","1.537,8"
Cisayong,"1.466,0","93,0","1.559,0"
Sukahening,"720,0","29,0","749,0"
Rajapolah,"716,6","30,7","747,2"
Jamanis,"804,0","61,0","865,0"
Ciawi,"1.210,0","100,0","1.310,0"
Kadipaten,"626,0","59,0","685,0"
Pagerageung,"1.255,0","52,2","1.307,2"
Sukaresik,"630,8","56,8","687,5"
Kabupaten Tasikmalaya,"43.189,60","5.596,60","48.786,00"
