Kecamatan Subdistrict,Tegal/Kebun Dry Field/Garden,Ladang/Huma Shifting Cultivation,Perkebunan Plantation
satuan,Hektar,Hektar,Hektar
tahun,2025,2025,2025
(1),(2),(3),(4)
Cipatujah,294,1.655,4.974
Karangnunggal,2.340,738,1.080
Cikalong,284,52,6.969
Pancatengah,5.887,3.330,2.548
Cikatomas,2.749,1.407,2.858
Cibalong,1.268,2.576,101
Parungponteng,2.280,-,-
Bantarkalong,2.652,966,-
Bojongasih,759,255,50
Culamega,475,330,687
Bojonggambir,1.391,335,4.442
Sodonghilir,578,351,2.530
Taraju,1.255,800,733
Salawu,2.183,1.040,-
Puspahiang,1.667,46,-
Tanjungjaya,516,1.025,25
Sukaraja,625,790,285
Salopa,1.915,511,2.710
Jatiwaras,2.467,1.486,120
Cineam,3.430,340,-
