Kecamatan,Tegal/Kebun,Ladang/Huma Shifting Cultivation,Perkebunan
satuan,Hektar,Hektar,Hektar
tahun,2025,2025,2025
(1),(2),(3),(4)
Karangjaya,756,731,214
Manonjaya,1.153,21,273
Gunungtanjung,2.345,0,106
Singaparna,195,0,0
Mangunreja,577,119,309
Sukarame,173,0,0
Cigalontang,2.860,2.324,287
Leuwisari,521,115,135
Padakembang,263,0,0
Sariwangi,35,50,130
Sukaratu,159,0,0
Cisayong,92,23,354
Sukahening,216,145,3
Rajapolah,241,6,0
Jamanis,270,0,0
Ciawi,561,902,0
Kadipaten,444,1.407,164
Pagerageung,500,173,550
Sukaresik,43,126,37
Kabupaten Tasikmalaya,11.404,6.142,2.562
