Kecamatan,Ditanami Pohon/ Hutan Rakyat,Padang Penggem- balaan Rumput,Hutan Negara,Sementara tidak Diusahakan Temporary Non Cultivated,Lainnya
satuan,Hektar,Hektar,Hektar,Hektar,Hektar
tahun,2025,2025,2025,2025,2025
(1),(5),(6),(7),(8),(9)
Cipatujah,1.490,1.731,0,996,4.206
Karangnunggal,4.795,579,240,0,368
Cikalong,487,2.697,0,0,121
Pancatengah,5.920,0,0,160,198
Cikatomas,592,0,0,0,518
Cibalong,47,54,0,0,199
Parungponteng,713,0,60,0,359
Bantarkalong,610,152,0,0,937
Bojongasih,800,100,168,0,50
Culamega,1.412,813,1.100,35,205
Bojonggambir,3.807,0,3.456,0,132
Sodonghilir,3.100,0,0,0,1.185
Taraju,1.222,261,0,54,3.975
Salawu,440,120,850,0,93
Puspahiang,207,109,0,0,0
Tanjungjaya,235,137,0,125,0
Sukaraja,670,100,100,0,110
Salopa,1.950,315,564,42,97
Jatiwaras,1.195,442,429,0,148
Cineam,0,94,2.205,0,101
Karangjaya,1.315,163,677,0,93
Manonjaya,500,0,150,1.458,265
Gunungtanjung,110,0,0,0,586
Singaparna,0,0,0,0,134
Mangunreja,500,45,0,0,138
Sukarame,0,68,0,0,97
Cigalontang,32,0,6.265,28,30
Leuwisari,2.100,750,298,0,159
Padakembang,271,0,340,0,802
Sariwangi,470,0,1.008,0,4
Sukaratu,96,0,2.986,0,242
Cisayong,164,0,1.021,1.479,630
Sukahening,269,0,37,380,176
Rajapolah,0,0,0,0,48
Jamanis,0,0,0,0,39
Ciawi,592,45,0,0,65
Kadipaten,56,0,300,1.277,24
Pagerageung,1.400,70,1.639,0,348
Sukaresik,67,0,0,0,48
,37.634,8.845,23.893,6.034,16.970
