Kecamatan,Padi Sawah,Padi Ladang
satuan,ha,ha
tahun,2025,2025
(1),(2),(3)
Cipatujah,6.392,423
Karangnunggal,5.759,0
Cikalong,4.241,0
Pancatengah,3.908,145
Cikatomas,3.712,0
Cibalong,1.686,0
Parungponteng,1.838,0
Bantarkalong,2.272,0
Bojongasih,1.915,0
Culamega,1.656,0
Bojonggambir,3.771,62
Sodonghilir,3.540,0
Taraju,2.536,0
Salawu,2.411,0
Puspahiang,2.099,0
Tanjungjaya,1.784,0
Sukaraja,1.924,485
Salopa,3.146,20
Jatiwaras,2.509,0
Cineam,1.228,0
Karangjaya,1.082,0
Manonjaya,1.082,0
Gunungtanjung,1.584,0
Singaparna,1.697,0
Mangunreja,1.422,0
Sukarame,1.836,0
Cigalontang,5.221,0
Leuwisari,1.661,0
Padakembang,2.032,0
Sariwangi,1.929,0
Sukaratu,3.462,0
Cisayong,3.678,0
Sukahening,1.962,0
Rajapolah,1.411,0
Jamanis,1.519,0
Ciawi,2.784,10
Kadipaten,1.611,0
Pagerageung,2.173,0
Sukaresik,1.356,0
Kabupaten Tasikmalaya,97.829,1.145
