Kecamatan,Padi Sawah,Padi Ladang
satuan,Ton,Ton
tahun,2025,2025
(1),(2),(3)
Cipatujah,34.578,2
Karangnunggal,30.772,0
Cikalong,22.722,0
Pancatengah,21.094,613
Cikatomas,20.022,0
Cibalong,9.084,0
Parungponteng,9.893,0
Bantarkalong,12.221,0
Bojongasih,10.295,0
Culamega,8.884,0
Bojonggambir,20.183,264
Sodonghilir,19.014,0
Taraju,13.640,0
Salawu,12.901,0
Puspahiang,11.370,0
Tanjungjaya,9.583,0
Sukaraja,10.375,2
Salopa,16.904,76
Jatiwaras,13.500,0
Cineam,6.581,0
Karangjaya,5.788,0
Manonjaya,5.870,0
Gunungtanjung,8.554,0
Singaparna,9.149,0
Mangunreja,7.634,0
Sukarame,9.888,0
Cigalontang,28.038,0
Leuwisari,8.934,0
Padakembang,10.898,0
Sariwangi,10.376,0
Sukaratu,18.656,0
Cisayong,19.785,0
Sukahening,10.571,0
Rajapolah,7.613,0
Jamanis,8.230,0
Ciawi,14.963,0
Kadipaten,8.680,0
Pagerageung,11.578,0
Sukaresik,7.299,0
Kabupaten Tasikmalaya,526.120,957
