Kecamatan,Jagung Maize,Kedelai Soybean,Kacang Tanah Peanut,Kacang Hijau Mungbean,Ubi Kayu Cassava,Ubi Jalar Sweet Potato
satuan,-,-,-,-,-,-
tahun,2026,2026,2026,2026,2026,2026
(1),(2),(3),(4),(5),(6),(7)
Cipatujah,477,0,25,0,31,25
Karangnunggal,1.242,0,1,0,8,
Cikalong,150,0,,0,2,1
Pancatengah,746,5,5,0,,
Cikatomas,377,0,8,0,5,
Cibalong,519,0,24,0,40,31
Parungponteng,20,0,7,0,12,14
Bantarkalong,128,0,14,0,13,14
Bojongasih,146,0,13,0,9,14
Culamega,50,0,,0,,2
Bojonggambir,28,0,12,0,20,
Sodonghilir,51,0,28,0,5,39
Taraju,97,0,21,0,21,35
Salawu,228,0,10,0,2,14
Puspahiang,70,0,3,0,,
Tanjungjaya,62,0,3,0,2,6
Sukaraja,633,0,2,0,4,
Salopa,126,0,4,0,8,3
Jatiwaras,97,0,9,0,1,6
Cineam,160,0,1,0,,
Karangjaya,113,0,7,0,47,
Manonjaya,7,1,1,0,4,1
Gunungtanjung,197,0,7,0,10,
Singaparna,2,0,,0,,
Mangunreja,41,0,13,0,13,14
Sukarame,0,0,,0,2,
Cigalontang,105,0,8,0,19,26
Leuwisari,6,0,,0,,7
Padakembang,0,0,,0,3,2
Sariwangi,1,0,,0,19,12
Sukaratu,4,0,,0,,
Cisayong,12,0,,0,19,1
Sukahening,24,0,,0,58,
Rajapolah,2,0,,0,2,
Jamanis,52,0,,0,2,
Ciawi,34,0,14,0,18,1
Kadipaten,700,0,45,0,31,31
Pagerageung,528,0,,0,,
Sukaresik,13,0,2,0,5,1
,7.244,6,297,0,515,320
