Kecamatan,Jagung Maize,-Kedelai Soybean,Kacang Tanah Peanut,Kacang Hijau Mungbean,Ubi Kayu Cassava,Ubi Jalar Sweet Potato
satuan,-,-,-,-,-,-
tahun,2026,2026,2026,2026,2026,2026
(1),(2),(3),(4),(5),(6),(7)
Cipatujah,3.108,,57,0,1.123,633
Karangnunggal,7.935,,26,0,295,
Cikalong,825,,,0,60,20
Pancatengah,4.638,8,0,0,,
Cikatomas,2.184,,17,0,160,
Cibalong,3.438,,53,0,1.242,778
Parungponteng,129,,14,0,385,329
Bantarkalong,844,,26,0,403,315
Bojongasih,966,,25,0,276,330
Culamega,332,,,0,,40
Bojonggambir,180,,24,0,602,
Sodonghilir,337,,5,0,1.801,"1,006"
Taraju,638,,45,0,633,"1,026"
Salawu,1.481,,21,0,683,397
Puspahiang,438,,5,0,,
Tanjungjaya,414,,6,0,59,168
Sukaraja,4.223,,5,0,131,
Salopa,839,,9,0,240,78
Jatiwaras,641,,23,0,402,185
Cineam,1.008,,2,0,,
Karangjaya,751,,13,0,1.344,
Manonjaya,45,2,2,0,79,
Gunungtanjung,1.268,,12,0,314,
Singaparna,13,,,0,,
Mangunreja,271,,25,0,247,211
Sukarame,0,,,0,38,
Cigalontang,672,,14,0,381,519
Leuwisari,38,,,0,,0
Padakembang,0,,,0,59,40
Sariwangi,6,,,0,378,181
Sukaratu,25,,,0,,
Cisayong,83,,,0,382,172
Sukahening,163,,,0,1.450,
Rajapolah,13,,,0,40,
Jamanis,345,,,0,40,
Ciawi,225,,24,0,400,209
Kadipaten,4.812,,105,0,1.087,639
Pagerageung,3.453,,,0,,
Sukaresik,85,,4,0,145,18
Kabupaten Tasikmalaya,46.866,10,562,0,14.879,"5.264,03"
