Kecamatan,Kentang Potato - 2024,Kentang Potato - 2025,Kubis Cabbage - 2024,Kubis Cabbage - 2025,Tomat Tomato - 2024,Tomat Tomato - 2025
satuan,ha,ha,ha,ha,ha,ha
tahun,2024,2025,2024,2025,2024,2025
(1),(10),(11),(12),(13),(14),(15)
Cipatujah,0,0,0,0,"16,00","15,00"
Karangnunggal,0,0,0,0,0,0
Cikalong,0,0,0,0,"2,00","4,00"
Pancatengah,0,0,0,0,0,"1,00"
Cikatomas,0,0,0,0,0,0
Cibalong,0,0,0,0,"7,00","7,00"
Parungponteng,0,0,0,0,0,0
Bantarkalong,0,0,0,0,"2,50","4,00"
Bojongasih,0,0,0,0,"3,00",0
Culamega,0,0,0,0,"3,50",0
Bojonggambir,0,0,0,0,"8,00","16,00"
Sodonghilir,0,0,0,0,"10,00","7,00"
Taraju,0,0,"37,00","52,00","58,00","65,00"
Salawu,0,0,0,0,0,0
Puspahiang,0,0,0,0,0,0
Tanjungjaya,0,0,0,0,0,0
Sukaraja,0,0,0,0,0,0
Salopa,0,0,0,0,0,0
Jatiwaras,0,0,0,0,"4,00","5,00"
Cineam,0,0,0,0,0,0
Karangjaya,0,0,0,0,"1,00",0
Manonjaya,0,0,0,0,0,0
Gunungtanjung,0,0,0,0,"2,02",0
Singaparna,0,0,0,0,"1,0","7,50"
Sukarame,0,0,0,0,0,0
Mangunreja,0,0,0,0,"13,00","14,50"
Cigalontang,0,0,"18,00","20,00","12,00","20,00"
Leuwisari,0,0,0,"3,00","1,50","4,00"
Sariwangi,0,0,0,0,"6,50","8,50"
Padakembang,0,0,0,0,"5,00","5,45"
Sukaratu,0,0,0,0,"20,00","23,00"
Cisayong,0,0,"4,00","2,00","9,50","10,00"
Sukahening,0,0,0,0,"35,00","2,0"
Rajapolah,0,0,0,0,"5,50","3,25"
Jamanis,0,0,0,0,0,0
Ciawi,0,0,0,0,"19,00","21,00"
Kadipaten,0,0,"19,00","15,00","15,00","17,00"
Pagerageung,0,0,0,0,"7,00","5,50"
Sukaresik,0,0,0,0,0,0
Kabupaten Tasikmalaya,0,0,78,92,"267,02","265,70"
