Kecamatan,Bawang Putih Garlic - 2024,Bawang Putih Garlic - 2025,Buncis String Bean - 2024,Buncis String Bean - 2025,Kacang Panjang Long Bean - 2024,Kacang Panjang Long Bean - 2025
satuan,ha,ha,ha,ha,ha,ha
tahun,2024,2025,2024,2025,2024,2025
(1),(16),(17),(18),(19),(20),(21)
Cipatujah,0,0,"23,00","19,00","23,00","19,00"
Karangnunggal,0,0,"3,00","3,00","4,00","3,00"
Cikalong,0,0,0,0,"6,00","5,00"
Pancatengah,0,0,0,"2,00","1,00","2,00"
Cikatomas,0,0,0,"4,00","3,00","1,00"
Cibalong,0,0,"6,00","6,00","7,00","7,00"
Parungponteng,0,0,"16,00","1,0","16,00","1,0"
Bantarkalong,0,0,"2,40","4,90","4,30","5,00"
Bojongasih,0,0,0,0,"6,00","8,00"
Culamega,0,0,"2,00",0,0,0
Bojonggambir,0,0,"7,00","10,00","1,00",0
Sodonghilir,0,0,"35,00","36,00","39,00","25,00"
Taraju,0,0,"48,00","72,00","24,00","35,00"
Salawu,0,0,0,0,"17,50","15,50"
Puspahiang,0,0,0,0,"7,00","5,00"
Tanjungjaya,0,0,0,0,"9,00","7,00"
Sukaraja,0,0,0,0,"5,00","4,00"
Salopa,0,0,0,0,0,0
Jatiwaras,0,0,0,"1,00","6,00","6,00"
Cineam,0,0,0,0,0,0
Karangjaya,0,0,"4,00","2,10","1,50",0
Manonjaya,0,0,0,0,0,0
Gunungtanjung,0,0,"2,01",0,0,"1,00"
Singaparna,0,0,"5,00","5,00","10,00","6,50"
Sukarame,0,0,0,0,0,0
Mangunreja,0,0,0,0,"14,00","14,00"
Cigalontang,0,0,"15,00","20,00","1,0","24,00"
Leuwisari,0,0,"3,00","3,00","2,00","3,00"
Sariwangi,0,0,"6,00","6,00","12,00","13,00"
Padakembang,0,0,"1,0","8,00","15,00","12,00"
Sukaratu,0,0,"27,00","2,0","2,0","20,00"
Cisayong,0,0,"5,00","12,00","10,00","12,00"
Sukahening,0,0,"15,00",0,"15,00","20,00"
Rajapolah,0,0,0,0,0,0
Jamanis,0,0,0,0,0,0
Ciawi,0,0,0,0,0,0
Kadipaten,0,0,"16,00","15,00",0,0
Pagerageung,0,0,0,0,0,0
Sukaresik,0,0,0,0,0,0
Kabupaten Tasikmalaya,0,0,"241,41",232,"261,30",274
