Kecamatan,Angrek Pot/Orchid - 2024,Angrek Pot/Orchid - 2025,Kolom_Kosong,Anggrek Potong/Orchid - 2024,Anggrek Potong/Orchid - 2025
satuan,Tangkai,Tangkai,Tangkai,Tangkai,Tangkai
tahun,2024,2025,2026,2024,2025
(1),(2),(3),,(4),(5)
Cipatujah,0,0,,0,0
Karangnunggal,0,0,,0,0
Cikalong,0,0,,0,0
Pancatengah,0,0,,0,0
Cikatomas,0,0,,0,0
Cibalong,0,0,,0,0
Parungponteng,0,0,,0,0
Bantarkalong,0,0,,0,0
Bojongasih,0,0,,0,0
Culamega,0,0,,0,0
Bojonggambir,0,0,,0,0
Sodonghilir,0,0,,0,0
Taraju,0,0,,0,0
Salawu,0,0,,0,0
Puspahiang,0,0,,0,0
Tanjungjaya,0,0,,0,0
Sukaraja,0,0,,0,0
Salopa,0,0,,0,0
Jatiwaras,0,0,,0,0
Cineam,0,0,,0,0
