Jenis Tanaman,2022,2023,2024,2025
satuan,m,m,m,m
tahun,2022,2023,2024,2025
(1),(2),(3),(4),(5)
Aglaonema,0,0,0,0
Anggrek Pot/Potted Orchid,0,0,0,0
Anggrek Potong/Cut Orchid,0,0,0,0
Anthurium Bunga/Flamingo Lily Flower,0,0,0,0
Bromelia,0,0,0,0
Bugenvil/Bougainvillea,0,0,0,0
Cordyline,0,0,0,0
Dracaena,0,0,0,0
Gerbera (Herbras),0,0,0,0
Heliconia (Pisang-Pisangan),0,0,0,0
Ixora (Soka),0,0,0,0
Krisan/Chrysantemum,0,0,0,0
Mawar/Rose,0,0,0,0
Melati/Jasmine,0,0,0,0
Pakis/Leather Leaf Fern,0,0,0,0
Palem1/Palm1,0,0,0,0
Phylodendron,0,0,0,0
Puring/Croton,0,0,0,0
Sanseviera (Pedang-Pedangan),0,0,0,0
Sedap Malam/Tuberose,0,0,0,0
