Kecamatan,Mangga/Mango - 2024,Mangga/Mango - 2025,Kolom_Kosong,Durian - 2022,Durian - 2025
satuan,Kuintal,Kuintal,Kuintal,Kuintal,Kuintal
tahun,2024,2025,2026,2022,2025
(1),(2),(3),,(4),(5)
Cipatujah,"21.543,00","38.595,00",,"50,00",0
Karangnunggal,0,"152,00",,"23,00","161,00"
Cikalong,"856,00","1.011,00",,"2.066,00","2.202,00"
Pancatengah,"1.238,00","155,00",,"15.857,00","2.120,00"
Cikatomas,0,"245,00",,"24.456,80","26.098,00"
Cibalong,"349,00","123,00",,"2.503,70","3.866,80"
Parungponteng,"2.147,00",0,,"11.405,00","1.708,00"
Bantarkalong,"92,00",0,,"5,0","1.635,00"
Bojongasih,"2.111,00","85,00",,"2.012,00","2.468,00"
Culamega,0,0,,0,"1.232,00"
Bojonggambir,"20,00",0,,"84,00",0
Sodonghilir,"2.466,00","4.604,00",,"6.677,00","7.527,00"
Taraju,"2.465,20","606,00",,"4.104,80","6.224,00"
Salawu,"835,00",0,,"3.357,20","1.318,00"
Puspahiang,0,0,,"61,50","712,00"
Tanjungjaya,"128,80","40,90",,"1.260,00","1.262,00"
Sukaraja,"775,00","815,00",,"12.143,00","8.155,00"
Salopa,"7.802,00","11.199,00",,"95.331,00","115.037,00"
Jatiwaras,"3.202,00","3.301,00",,"34.265,00","38.660,00"
Cineam,"2.974,00","3.180,00",,"1.389,80","1.458,32"
Karangjaya,"116,00","59,00",,"1.761,04","516,00"
Manonjaya,"71,00","68,00",,"2.796,10","5.133,00"
Gunungtanjung,0,0,,"200,00",0
Singaparna,"372,00","254,00",,"226,44","159,70"
Sukarame,"128,00","173,00",,"109,00","156,00"
Mangunreja,"186,00","175,00",,"557,00","1.864,88"
Cigalontang,"221,00","224,00",,"2.039,96","2.017,60"
Leuwisari,0,0,,"270,00","266,00"
Sariwangi,"844,00","845,00",,"1.215,00","1.249,00"
Padakembang,"87,00","23,50",,"18,60",0
Sukaratu,"327,00","381,00",,"57,65","52,74"
Cisayong,"158,00","96,00",,"167,60","81,20"
Sukahening,0,0,,0,0
Rajapolah,"4,00","1,50",,"9,50","9,00"
Jamanis,"762,00","745,00",,"4,0","51,50"
Ciawi,"28,00","31,00",,"3,70","4,00"
Kadipaten,"169,00","102,00",,"925,50","923,00"
Pagerageung,"10,00",0,,"278,00","391,00"
Sukaresik,"1.252,26","651,00",,"190,30","112,56"
Kabupaten Tasikmalaya,"53.739,26","67.940,90",,"227.881,19","234.831,30"
