Kecamatan,Jeruk Siam/Orange/Tangerine - 2024,Jeruk Siam/Orange/Tangerine - 2025,Kolom_Kosong,Pisang/Banana - 2024,Pisang/Banana - 2025
satuan,Kuintal,Kuintal,Kuintal,Kuintal,Kuintal
tahun,2024,2025,2026,2024,2025
(1),(6),(7),,(8),(9)
Cipatujah,"157,00","202,00",,"236.585,00","227.384,00"
Karangnunggal,"100,00",0,,"1.285,00","2.905,00"
Cikalong,"53,00","57,70",,"425,00","200,00"
Pancatengah,"3,25",0,,"116.260,30",0
Cikatomas,0,0,,"17.815,00","20.535,00"
Cibalong,"18,00","16,50",,"13.300,00","16.681,00"
Parungponteng,0,0,,"60.530,00","68.536,00"
Bantarkalong,"6,25","37,00",,"3.846,00","2.797,00"
Bojongasih,"50,00","82,00",,"29.821,66","30.694,00"
Culamega,0,0,,"8.903,00","6.003,00"
Bojonggambir,"80,00","80,00",,"26.234,00","32.774,00"
Sodonghilir,"83,75","89,30",,"30.588,00","31.961,00"
Taraju,"3.735,00","3.354,00",,"21.385,10","8.066,00"
Salawu,"113,70",0,,"2.802,70","23.771,80"
Puspahiang,0,0,,"1.282,00","554,30"
Tanjungjaya,"22,09","18,10",,"4.534,00","4.595,00"
Sukaraja,"305,00","605,00",,"2.734,00","3.497,00"
Salopa,"787,00","790,00",,"104.918,00","64.904,00"
Jatiwaras,"16,00","304,00",,"89.130,00","159.003,00"
Cineam,"8,75","8,50",,"81.432,69","93.611,00"
Karangjaya,"9,50","4,00",,"64.290,60","70.596,00"
Manonjaya,"58,90","56,00",,"4.224,00","3.429,00"
Gunungtanjung,"2,80",0,,"650,00","417,50"
Singaparna,"17,30","8,93",,"1.929,30","1.036,00"
Sukarame,"7,00","9,00",,"6.886,00","6.285,00"
Mangunreja,"121,30","65,00",,"39.754,80","35.931,10"
Cigalontang,"43,00","42,80",,"7.295,00","5.793,00"
Leuwisari,"30,00","32,00",,"1.050,00","1.171,00"
Sariwangi,"70,00","70,00",,"1.868,50","1.767,00"
Padakembang,"16,32","8,48",,"7.862,64","7.823,00"
Sukaratu,"56,00","54,60",,"7.575,00","5.253,00"
Cisayong,"240,00","237,00",,"3.767,00","3.428,00"
Sukahening,"5.579,54","1.569,00",,"87,40","217,00"
Rajapolah,"12,97","12,80",,"57,36","61,16"
Jamanis,0,0,,"257,00","273,00"
Ciawi,"2,50","5,00",,"509,80","526,50"
Kadipaten,"81,40","73,00",,"16.624,20","24.008,00"
Pagerageung,0,0,,"4.632,00","5.879,00"
Sukaresik,"11,72","3,00",,"7.032,67","3.047,00"
Kabupaten Tasikmalaya,"11.899,04","7.894,71",,"1.030.164,72","975.413,36"
