Kecamatan,Pepaya/Papaya - 2024,Pepaya/Papaya - 2025,Kolom_Kosong,Salak/Snakefruit - 2024,Salak/Snakefruit - 2025
satuan,Kuintal,Kuintal,Kuintal,Kuintal,Kuintal
tahun,2024,2025,2026,2024,2025
(1),(10),(11),,(12),(13)
Cipatujah,"4.190,00","4.589,00",,"247,00","989,00"
Karangnunggal,"692,00","168,00",,"249,00","91,00"
Cikalong,"145,40","606,00",,"7,20","5,25"
Pancatengah,"400,50",0,,"64,70",0
Cikatomas,"237,52","746,00",,"80,00","116,00"
Cibalong,"4.059,00","3.136,00",,"419,00","377,30"
Parungponteng,"1.061,90","994,00",,"376,76","342,00"
Bantarkalong,"195,30","402,78",,"20,00","21,70"
Bojongasih,"510,00","715,00",,"550,64","590,00"
Culamega,"93,75","62,10",,0,0
Bojonggambir,"159,00","256,56",,0,0
Sodonghilir,"5.086,00","5.083,00",,0,0
Taraju,"685,60","354,00",,"183,69","196,00"
Salawu,"936,80","2.584,00",,0,0
Puspahiang,"348,20","173,10",,0,0
Tanjungjaya,"950,10","1.234,90",,"38,50","26,00"
Sukaraja,"104,56","84,50",,"9,75","10,30"
Salopa,"6.251,00","5.908,00",,"19,50","10,40"
Jatiwaras,"5.692,00","1.487,00",,"2,0","30,00"
Cineam,"3.202,70","3.613,00",,"43,00","70,15"
Karangjaya,"5.498,00","6.914,00",,"429,00","47,00"
Manonjaya,"686,20","1.468,00",,"21.002,00","16.379,00"
Gunungtanjung,"596,00","1.180,00",,0,0
Singaparna,"630,00","403,00",,0,0
Sukarame,"17,71","30,69",,0,0
Mangunreja,"4.531,20","4.521,00",,"5,00","4,00"
Cigalontang,"2.935,00","3.082,10",,0,0
Leuwisari,"708,70","865,00",,0,0
Sariwangi,"7.072,00","7.079,00",,0,0
Padakembang,"640,50","392,00",,"0,84",0
Sukaratu,"960,50","1.189,00",,0,0
Cisayong,"554,40","509,80",,"3,20","3,86"
Sukahening,"119,50","145,00",,0,0
Rajapolah,"78,75","78,80",,"9,13","9,10"
Jamanis,"329,83","315,00",,0,0
Ciawi,"53,39","55,20",,0,0
Kadipaten,"1.226,25","1.188,00",,"9,50","9,68"
Pagerageung,"137,30","183,00",,0,0
Sukaresik,"242,25","225,20",,"1,38","0,75"
Kabupaten Tasikmalaya,"62.018,81","62.020,73",,"23.770,79","19.328,49"
