Kecamatan,Manggis/Mangosteen - 2024,Manggis/Mangosteen - 2025,Kolom_Kosong,Alpukat/Avocado - 2024,Alpukat/Avocado - 2025
satuan,Kuintal,Kuintal,Kuintal,Kuintal,Kuintal
tahun,2024,2025,2026,2024,2025
(1),(14),(15),,(16),(17)
Cipatujah,"6.987,00","1.895,00",,"560,00","469,00"
Karangnunggal,"20,00","3,00",,"3.444,00","3.852,00"
Cikalong,"183,00","283,00",,"572,00","644,00"
Pancatengah,"6.719,00",0,,"4.745,00","231,00"
Cikatomas,"7.525,00","8.917,00",,"217,75","317,52"
Cibalong,"10.400,00",0,,"312,00","207,00"
Parungponteng,"4.200,00",0,,"2.429,00","73,00"
Bantarkalong,"442,00",0,,"273,00","518,00"
Bojongasih,"3.958,40","1.278,00",,"1.537,00","3.521,00"
Culamega,"194,00",0,,"34,50","331,00"
Bojonggambir,"411,00",0,,"308,00","528,00"
Sodonghilir,"42.331,00","50.589,00",,"1.529,00","1.523,00"
Taraju,"19.940,40","55.483,00",,"4.599,68","1.629,00"
Salawu,"2.634,50",0,,"1.288,00","375,00"
Puspahiang,"174.941,60",0,,"25,12","10,00"
Tanjungjaya,"545,00","555,00",,"4.126,00","7.957,00"
Sukaraja,"36.345,00","23.740,00",,"1.869,00","2.333,00"
Salopa,"17.858,00","23.689,00",,"1.190,00","1.106,00"
Jatiwaras,"49.229,00","25.980,00",,0,"2.943,00"
Cineam,"402,00","402,00",,"90,00","90,00"
Karangjaya,"160,00",0,,"20,00","79,00"
Manonjaya,"203,00","289,50",,"817,00","860,00"
Gunungtanjung,"4,00",0,,"66,40","67,00"
Singaparna,"24,20","9,70",,"28,90","17,00"
Sukarame,"27,90","29,00",,"79,20","5,0"
Mangunreja,"16.231,60","1.460,00",,"438,10","670,00"
Cigalontang,"11.085,00","11.323,00",,"3.503,00","3.493,00"
Leuwisari,"680,00","864,00",,"242,65","214,00"
Sariwangi,"368,00","361,00",,"396,30","354,00"
Padakembang,"14,00",0,,"186,05","160,60"
Sukaratu,0,0,,"204,20","75,00"
Cisayong,"20,00","8,80",,"4.776,00","5.003,00"
Sukahening,0,0,,"44,79","43,00"
Rajapolah,"1,37","1,37",,"16,54","17,00"
Jamanis,"53,80","35,00",,"145,60","149,00"
Ciawi,0,0,,"12,50","12,00"
Kadipaten,"6,95",0,,"7.759,00","18.085,00"
Pagerageung,0,0,,"1.749,00","2.034,00"
Sukaresik,"42,96","15,20",,"211,52","216,00"
Kabupaten Tasikmalaya,"414.188,68","207.210,57",,"49.845,80","60.211,12"
