Jenis Tanaman,2024,2025
satuan,Kuintal,Kuintal
tahun,2024,2025
(1),(4),(5)
Buah–Buahan/Fruits,,
Alpukat/Avocado,"49.845,80","60.261,12"
Anggur/Grape,0,0
Apel/Apple,0,0
Belimbing/Star Fruit,"2.343,30","2.827,82"
Buah Naga/Dragon Fruit,"1.222,51","1.144,60"
Duku/Langsat/Kokosan,"22.171,59","25.213,26"
Durian,"227.971,19","234.831,30"
Jambu Air,"6.988,66","8.217,13"
Jambu Biji/Guava,"16.689,98","17.662,20"
Jeruk Pamelo/Pomelo,"81,52","78,51"
Jeruk Lemon/Lemon,"98,49","111,10"
Jeruk Siam/Keprok/Orange/Tangerine,"11.899,04","7.894,71"
Lengkeng/Longan,"323,13","592,70"
Mangga/Mango,"53.739,26","67.940,90"
Manggis/Mangosteen,"414.188,68","207.210,57"
Nenas/Pineapple,"1.530,35","1.405,72"
Nangka/Cempedak/Jackfruit,"15.581,60","13.999,48"
Pepaya/Papaya,"62.018,81","62.020,73"
Pisang/Banana,"1.030.164,72","975.413,36"
Rambutan,"65.442,06","42.004,20"
Salak/Snakefruit,"23.790,79","19.328,49"
Sawo/Sapodilla/Sawo,"29.039,23","19.569,61"
Sirsak/Soursop,"28.511,43","27.593,44"
Sukun/Breadfruit,"24.755,97","18.325,15"
Sayuran/Vegetables,,
Melinjo/Gnetum/Melinjo,"6.104,39","5.924,42"
Petai/Twisted Cluster Bean,"128.551,46","118.713,75"
