Kecamatan,Bawang Merah Shallot - 2024,Bawang Merah Shallot - 2025,Kolom_Kosong,Cabai Besar/TW/Teropong Chili/Big Chili - 2024,Cabai Besar/TW/Teropong Chili/Big Chili - 2025
satuan,Kuintal,Kuintal,Kuintal,Kuintal,Kuintal
tahun,2024,2025,2026,2024,2025
(1),(2),(3),,(4),(5)
Cipatujah,0,0,,"1.692,00","1.718,00"
Karangnunggal,0,0,,"748,00","670,00"
Cikalong,"47,00",0,,"289,00","217,00"
Pancatengah,"50,00","28,00",,"316,00","60,00"
Cikatomas,0,0,,0,"252,00"
Cibalong,0,0,,"173,00",0
Parungponteng,0,0,,"588,00","848,00"
Bantarkalong,0,0,,"210,90","157,00"
Bojongasih,0,0,,"704,00","544,00"
Culamega,0,0,,"98,60",0
Bojonggambir,0,0,,"5.631,00","5.285,00"
Sodonghilir,0,0,,"4.860,00","5.302,00"
Taraju,0,0,,"10.832,10","13.597,00"
Salawu,0,0,,"5.220,40","3.115,60"
Puspahiang,0,0,,"494,00","659,00"
Tanjungjaya,0,0,,"985,00","698,00"
Sukaraja,0,0,,"155,00","210,00"
Salopa,0,0,,"1.061,00","967,20"
Jatiwaras,0,"47,00",,"1.177,00","720,00"
Cineam,"100,25",0,,0,0
Karangjaya,"10,30","3,30",,"93,80",0
Manonjaya,"67,00","18,00",,0,0
Gunungtanjung,0,0,,"178,10","128,00"
Singaparna,0,0,,"1.320,00","1.129,70"
Sukarame,0,0,,0,0
Mangunreja,0,0,,"1.277,00","1.076,00"
Cigalontang,0,0,,"4.673,00","3.563,00"
Leuwisari,0,0,,"249,00","344,00"
Sariwangi,"24,00","225,00",,"298,00","801,00"
Padakembang,0,0,,"667,40","446,00"
Sukaratu,0,0,,"1.854,00","1.819,50"
Cisayong,0,0,,"1.163,00","1.526,90"
Sukahening,0,0,,"3.138,00","2.722,00"
Rajapolah,0,0,,"452,20","535,50"
Jamanis,0,0,,0,0
Ciawi,0,0,,"3.236,00","2.860,00"
Kadipaten,0,0,,"6.555,00","4.411,00"
Pagerageung,0,0,,"495,00","532,50"
Sukaresik,0,0,,0,0
Kabupaten Tasikmalaya,"298,55","321,30",,"60.884,50","56.914,90"
