Kecamatan,Cabai Keriting Curly Chili - 2024,Cabai Keriting Curly Chili - 2025,Kolom_Kosong,Cabai Rawit Chili/Cayenne Pepper - 2024,Cabai Rawit Chili/Cayenne Pepper - 2025
satuan,Kuintal,Kuintal,Kuintal,Kuintal,Kuintal
tahun,2024,2025,2026,2024,2025
(1),(6),(7),,(8),(9)
Cipatujah,0,0,,"1.313,00","1.107,00"
Karangnunggal,"160,00","168,00",,"452,00","611,00"
Cikalong,0,0,,"428,00","358,00"
Pancatengah,0,0,,"57,00","288,00"
Cikatomas,"364,00","204,60",,"205,00","170,00"
Cibalong,"78,00","287,10",,"396,50","370,80"
Parungponteng,"409,00","605,00",,"700,00","655,00"
Bantarkalong,0,"200,70",,"504,00","405,95"
Bojongasih,0,0,,"597,00","1.046,00"
Culamega,0,0,,0,"46,43"
Bojonggambir,0,0,,"951,00","1.758,00"
Sodonghilir,0,0,,"2.344,00","2.783,00"
Taraju,"3.664,95","7.060,00",,"4.885,70","9.160,00"
Salawu,"2.646,20","2.301,40",,"2.022,90","1.918,40"
Puspahiang,0,0,,"358,00","684,00"
Tanjungjaya,"1.033,00","193,00",,"742,50","397,00"
Sukaraja,"120,00","218,00",,0,"65,00"
Salopa,0,0,,"756,70","759,60"
Jatiwaras,0,0,,"767,00","516,00"
Cineam,0,0,,"189,36","303,40"
Karangjaya,0,0,,"353,40","163,10"
Manonjaya,0,0,,"174,00","118,00"
Gunungtanjung,0,0,,"114,20","127,00"
Singaparna,"761,00","923,00",,"884,00","754,50"
Sukarame,0,0,,0,"60,00"
Mangunreja,0,0,,"878,00","1.034,00"
Cigalontang,"3.402,00","2.703,00",,"1.602,00","1.431,00"
Leuwisari,"151,00","139,00",,"240,00","165,00"
Sariwangi,"604,00","856,00",,"292,00","511,00"
Padakembang,0,0,,0,"115,00"
Sukaratu,0,0,,"1.513,00","1.310,25"
Cisayong,0,0,,"697,00","1.000,00"
Sukahening,"2.101,00","2.017,00",,"2.683,20","1.306,00"
Rajapolah,0,0,,"164,75","206,75"
Jamanis,0,0,,0,0
Ciawi,0,0,,"973,00","1.046,00"
Kadipaten,"4.118,00","3.985,00",,"2.979,00","2.635,00"
Pagerageung,"248,00","1.118,80",,"257,50","563,50"
Sukaresik,0,0,,0,0
Kabupaten Tasikmalaya,"19.860,15","22.979,60",,"31.474,71","35.948,68"
