Kecamatan,Kentang Potato - 2024,Kentang Potato - 2025,Kubis Cabbage - 2024,Kubis Cabbage - 2025,Tomat Tomato - 2024,Tomat Tomato - 2025
satuan,Kuintal,Kuintal,Kuintal,Kuintal,Kuintal,Kuintal
tahun,2024,2025,2024,2025,2024,2025
(1),(10),(11),(12),(13),(14),(15)
Cipatujah,0,0,0,0,"1.475,00","1.345,00"
Karangnunggal,0,0,0,0,0,0
Cikalong,0,0,0,0,"218,00","336,00"
Pancatengah,0,0,0,0,0,"70,00"
Cikatomas,0,0,0,0,0,0
Cibalong,0,0,0,0,"513,00","551,00"
Parungponteng,0,0,0,0,0,0
Bantarkalong,0,0,0,0,"356,30","452,20"
Bojongasih,0,0,0,0,"247,00",0
Culamega,0,0,0,0,"224,95",0
Bojonggambir,0,0,0,0,"610,00","1.194,50"
Sodonghilir,0,0,0,0,"936,00","651,00"
Taraju,0,0,"2.841,00","3.914,60","5.521,00","6.572,00"
Salawu,0,0,0,0,0,0
Puspahiang,0,0,0,0,0,0
Tanjungjaya,0,0,0,0,0,0
Sukaraja,0,0,0,0,0,0
Salopa,0,0,0,0,0,0
Jatiwaras,0,0,0,0,"367,00","344,50"
Cineam,0,0,0,0,0,0
Karangjaya,0,0,0,0,"65,00",0
Manonjaya,0,0,0,0,0,0
Gunungtanjung,0,0,0,0,"82,65",0
Singaparna,0,0,0,0,"1.062,00","741,50"
Sukarame,0,0,0,0,0,0
Mangunreja,0,0,0,0,"1.167,00","1.431,00"
Cigalontang,0,0,"1.592,00","1.641,00","1.317,00","1.564,00"
Leuwisari,0,0,0,"254,00","178,50","449,00"
Sariwangi,0,0,0,0,"623,50","825,30"
Padakembang,0,0,0,0,"400,00","457,00"
Sukaratu,0,0,0,0,"1.471,00","1.507,00"
Cisayong,0,0,"312,00","168,00","833,00","1.008,00"
Sukahening,0,0,0,0,"3.147,00","1.898,00"
Rajapolah,0,0,0,0,"441,00","256,50"
Jamanis,0,0,0,0,0,0
Ciawi,0,0,0,0,"2.034,00","2.142,00"
Kadipaten,0,0,"1.701,00","1.224,00","1.623,00","1.615,00"
Pagerageung,0,0,0,0,"681,00","534,50"
Sukaresik,0,0,0,0,0,0
Kabupaten Tasikmalaya,0,0,"6.446,00","7.201,60","25.593,90","25.945,00"
