Kecamatan,Bawang Putih Garlic - 2024,Bawang Putih Garlic - 2025,Buncis - 2024,Buncis - 2025,Kacang Panjang - 2024,Kacang Panjang - 2025
satuan,Kuintal,Kuintal,Kuintal,Kuintal,Kuintal,Kuintal
tahun,2024,2025,2024,2025,2024,2025
(1),(16),(17),(18),(19),(20),(21)
Cipatujah,0,0,"1.662,25","1.503,70","1.646,20","1.432,00"
Karangnunggal,0,0,"222,00","227,00","265,00","165,00"
Cikalong,0,0,0,0,"439,00","395,00"
Pancatengah,0,0,0,"168,00","85,00","147,50"
Cikatomas,0,0,0,"265,00","179,00","82,00"
Cibalong,0,0,"466,50","440,50","461,00","479,50"
Parungponteng,0,0,"1.134,00","860,00","1.031,00","824,00"
Bantarkalong,0,0,"241,00","389,50","470,30","442,30"
Bojongasih,0,0,0,0,"472,00","677,10"
Culamega,0,0,"8,7",0,0,0
Bojonggambir,0,0,"378,00","647,00","75,00",0
Sodonghilir,0,0,"2.149,00","2.472,00","2.282,00","1.847,00"
Taraju,0,0,"3.705,50","5.116,00","2.080,25","4.193,00"
Salawu,0,0,0,0,"1.002,35","956,70"
Puspahiang,0,0,0,0,"521,00","279,00"
Tanjungjaya,0,0,0,0,"620,00","510,00"
Sukaraja,0,0,0,0,"212,00","298,00"
Salopa,0,0,0,0,0,0
Jatiwaras,0,0,0,"75,00","452,00","390,00"
Cineam,0,0,0,0,- -,0
Karangjaya,0,0,"306,40","177,25","108,00",0
Manonjaya,0,0,0,0,0,0
Gunungtanjung,0,0,"111,38",0,0,"30,00"
Singaparna,0,0,"466,50","519,50","795,50","550,50"
Sukarame,0,0,0,0,0,0
Mangunreja,0,0,0,0,"1.035,00","834,50"
Cigalontang,0,0,"1.417,80","1.444,00","1.070,00","1.973,00"
Leuwisari,0,0,"233,00","267,00","194,00","188,00"
Sariwangi,0,0,"501,20","498,00","940,50","1.034,00"
Padakembang,0,0,"798,00","570,90","996,50","807,50"
Sukaratu,0,0,"1.869,00","1.491,00","1.744,00","1.257,50"
Cisayong,0,0,"416,00","1.042,00","755,00","964,00"
Sukahening,0,0,"1.137,40",0,"1.167,50","1.368,00"
Rajapolah,0,0,0,0,0,0
Jamanis,0,0,0,0,0,0
Ciawi,0,0,0,0,0,0
Kadipaten,0,0,"1.251,00","1.290,00",0,0
Pagerageung,0,0,0,0,0,0
Sukaresik,0,0,0,0,0,0
Kabupaten Tasikmalaya,0,0,"18.474,63","19.463,35","21.099,10","22.125,10"
