Jenis Tanaman,2022,2023,2024,2025
satuan,-,-,-,-
tahun,2022,2023,2024,2025
(1),(2),(3),(4),(5)
Sayuran/Vegetables,,,,
Bawang Daun/Scallion,"264,90","210,60","268,68","271,30"
Bawang Merah/Shallots,"21,60","8,50","6,30","8,10"
Bawang Putih/Garlic,0,0,0,0
Bayam/Spinach,"152,80","182,80","195,04","231,20"
Buncis/String Bean,"331,25","266,93","251,41","262,00"
Cabai Besar/TW/Teropong/Chili/Big Chili,"685,30","698,01","657,30","629,80"
Cabai Keriting/Curly Chili,"191,50","189,60","221,00","258,80"
Cabai Rawit/Chili/Cayenne Pepper,"347,75","369,21","417,95","480,05"
Jamur Tiram/Mushrooms (m2 ),"111.498,00","69.324,00","83.434,45","48.671,40"
Jamur Merang/Mushrooms (m2 ),0,0,0,0
Jamur Lainnya/Mushrooms (m2 ),0,0,0,0
Kacang Merah/Red Beans,0,0,0,0
Kacang Panjang/Long Beans,"305,10","321,90","291,30","284,00"
Kangkung,"244,90","270,91","288,04","301,90"
Kembang Kol/Cauliflower,"3,0","29,50","51,00","48,50"
Kentang/Potato,0,0,0,0
Labu Siam/Chayote,"86,00","56,50","62,00","34,00"
Petsai/Chinese Cabbage/Mustard Green,"155,50","199,50","189,75","259,30"
Terung/Eggplant,"183,80","176,20","172,20","175,00"
Tomat/Tomato,"292,20","271,94","277,02","285,70"
Wortel/Carrot,"10,00","12,00","5,00",0
Buah–buahan/Fruits,,,,
Melon,"5,50","2,00","9,30","3,10"
Semangka/Watermelon,"23,00","19,50","38,20","29,60"
