Kecamatan,Jahe Ginger - 2024,Jahe Ginger - 2025,Laos/Lengkuas Galanga - 2024,Laos/Lengkuas Galanga - 2025,Kencur East Indian Galangal - 2024,Kencur East Indian Galangal - 2025
satuan,m,m,m,m,m,m
tahun,2024,2025,2024,2025,2024,2025
(1),(2),(3),(4),(5),(6),(7)
Cipatujah,1.237,2.718,0,0,712,1.357
Karangnunggal,10.000,1.500,0,0,0,0
Cikalong,12.685,13.185,232,242,530,553
Pancatengah,0,2,0,1,0,1
Cikatomas,1.500,800,1.000,0,0,1.200
Cibalong,9.750,3.500,4.000,4.000,5.000,2.000
Parungponteng,0,0,0,0,0,0
Bantarkalong,315,400,831,550,95,50
Bojongasih,20.727,36.480,0,0,2.045,16.694
Culamega,0,0,0,0,0,0
Bojonggambir,250.000,130.000,0,0,0,0
Sodonghilir,9.500,5.000,1.500,1.000,0,0
Taraju,2.906,483,0,0,0,0
Salawu,3.625,8.100,0,0,0,0
Puspahiang,1.100,800,200,100,600,400
Tanjungjaya,0,0,0,0,0,0
Sukaraja,435,620,65,0,6,0
Salopa,2.690,545,1.485,21.000,1.040,4.500
Jatiwaras,0,100,0,0,0,0
Cineam,0,1.190,0,0,0,550
Karangjaya,0,300,0,0,0,350
Manonjaya,80,0,20,5,50,0
Gunungtanjung,700,0,50,0,100,0
Singaparna,0,0,0,0,0,0
Sukarame,0,12,0,17,0,18
Mangunreja,4.300,5.896,0,0,0,0
Cigalontang,29.000,5.000,0,0,0,0
Leuwisari,1.000,0,0,0,0,0
Sariwangi,150,385,150,121,0,0
Padakembang,0,0,0,0,0,0
Sukaratu,0,0,0,0,0,0
Cisayong,550,150,930,465,0,35
Sukahening,769,133,405,15,0,0
Rajapolah,0,0,0,0,0,0
Jamanis,0,0,0,0,0,0
Ciawi,0,0,0,0,0,0
Kadipaten,45.000,30.000,0,0,0,0
Pagerageung,0,30.000,0,0,0,0
Sukaresik,0,0,0,0,0,0
Kabupaten Tasikmalaya,408.019,277.299,10.868,27.516,10.178,27.708
