Kecamatan,Kunyit Turmeric - 2024,Kunyit Turmeric - 2025,Kapulaga Java Cardamon - 2024,Kapulaga Java Cardamon - 2025,Serai Lemongrass - 2024,Serai Lemongrass - 2025
satuan,m,m,m,m,m,m
tahun,2024,2025,2024,2025,2024,2025
(1),(8),(9),(10),(11),(12),(13)
Cipatujah,0,0,289.925,286.802,0,0
Karangnunggal,0,0,4.000,1.700,0,0
Cikalong,500,570,38.207,52.500,770,670
Pancatengah,0,1,5.675,8.325,0,1
Cikatomas,1.613,274,27.039,38.522,600,1.360
Cibalong,8.000,6.000,25.500,17.000,1.000,10.500
Parungponteng,0,0,197.753,195.208,0,0
Bantarkalong,350,150,3.100,1.700,250,490
Bojongasih,2.721,23.817,365.103,834.231,0,0
Culamega,0,0,17.045,25.649,0,0
Bojonggambir,0,0,1.110.000,1.000.000,0,0
Sodonghilir,2.500,3.900,11.500,12.500,2.000,2.900
Taraju,0,0,31.553,29.865,0,0
Salawu,5.205,8.440,2.028.185,1.973.660,0,0
Puspahiang,400,300,92.659,2.400,0,0
Tanjungjaya,0,0,65.000,5.000,0,0
Sukaraja,213,500,8.880,20.010,0,0
Salopa,470,540,53.639,381.000,0,0
Jatiwaras,0,100,4.707,2.532.802,0,2.600
Cineam,0,2.100,70.400,70.400,0,0
Karangjaya,0,500,36.103,37.953,0,155
Manonjaya,0,0,0,0,40,0
Gunungtanjung,100,0,127.000,21.350,150,0
Singaparna,0,0,0,0,0,0
Sukarame,0,13,0,78,0,0
Mangunreja,850,11.791,25.500,26.000,0,0
Cigalontang,6.900,6.000,45.500,28.000,9.200,4.490
Leuwisari,500,0,63.000,61.000,0,0
Sariwangi,250,134,3.250,3.400,2.550,2.300
Padakembang,0,0,620,620,0,0
Sukaratu,0,0,8,8,0,0
Cisayong,475,760,3.125,2.500,400,800
Sukahening,1.135,63,350,29,465,127
Rajapolah,0,0,0,0,0,0
Jamanis,0,0,0,0,0,0
Ciawi,0,0,40.000,40.000,0,0
Kadipaten,4.000,3.000,37.500,67.500,0,0
Pagerageung,0,0,18.000,40.000,0,0
Sukaresik,0,0,0,0,0,0
Kabupaten Tasikmalaya,36.182,68.953,4.849.826,7.817.712,17.425,26.393
