Kecamatan,Jahe Ginger - 2024,Jahe Ginger - 2025,Laos/Lengkuas Galanga - 2024,Laos/Lengkuas Galanga - 2025,Kencur East Indian Galangal - 2024,Kencur East Indian Galangal - 2025
satuan,Kg,Kg,Kg,Kg,Kg,Kg
tahun,2024,2025,2024,2025,2024,2025
(1),(2),(3),(4),(5),(6),(7)
Cipatujah,1.413,5.170,0,0,886,1.924
Karangnunggal,12.500,1.850,0,0,0,0
Cikalong,18.458,17.903,393,409,800,842
Pancatengah,0,3,0,2,0,1
Cikatomas,2.175,1.231,1.450,0,0,1.620
Cibalong,14.580,3.200,5.950,5.000,6.600,2.650
Parungponteng,0,0,0,0,0,0
Bantarkalong,447,560,1.182,985,138,63
Bojongasih,26.945,64.018,0,0,2.978,20.032
Culamega,0,0,0,0,0,0
Bojonggambir,335.000,186.000,0,0,0,0
Sodonghilir,10.500,16.500,2.050,1.175,0,0
Taraju,4.268,459,0,0,0,0
Salawu,5.030,13.725,0,0,0,0
Puspahiang,1.555,1.310,293,190,905,610
Tanjungjaya,0,0,0,0,0,0
Sukaraja,600,1.053,89,0,98,0
Salopa,3.607,845,2.283,32.190,1.404,5.800
Jatiwaras,0,175,0,0,0,0
Cineam,0,2.321,0,0,0,645
Karangjaya,0,675,0,0,0,429
Manonjaya,115,0,29,8,78,0
Gunungtanjung,800,0,60,0,150,0
Singaparna,0,0,0,0,0,0
Sukarame,0,10,0,24,0,17
Mangunreja,5.405,8.516,0,0,0,0
Cigalontang,36.100,7.800,0,0,0,0
Leuwisari,1.300,0,0,0,0,0
Sariwangi,180,551,241,195,0,0
Padakembang,0,0,0,0,0,0
Sukaratu,0,0,0,0,0,0
Cisayong,830,237,1.412,750,0,47
Sukahening,1.023,152,660,25,0,0
Rajapolah,0,0,0,0,0,0
Jamanis,0,0,0,0,0,0
Ciawi,0,0,0,0,0,0
Kadipaten,59.000,33.500,0,0,0,0
Pagerageung,0,42.500,0,0,0,0
Sukaresik,0,0,0,0,0,0
Kabupaten Tasikmalaya,541.831,410.264,16.092,40.953,14.037,34.680
