Kecamatan,Kunyit Turmeric - 2024,Kunyit Turmeric - 2025,Kapulaga Java Cardamon - 2024,Kapulaga Java Cardamon - 2025,Serai Lemongrass - 2024,Serai Lemongrass - 2025
satuan,Kg,Kg,Kg,Kg,Kg,Kg
tahun,2024,2025,2024,2025,2024,2025
(1),(8),(9),(10),(11),(12),(13)
Cipatujah,0,0,337.944,558.528,0,0
Karangnunggal,0,0,2.600,4.750,0,0
Cikalong,778,956,47.313,44.786,2.460,2.260
Pancatengah,0,1,1.456,5.069,0,3
Cikatomas,3.040,486,19.594,38.083,4.800,7.980
Cibalong,12.000,7.300,15.450,16.700,6.000,63.000
Parungponteng,0,0,238.524,464.926,0,0
Bantarkalong,543,244,74.260,4.095,1.650,3.010
Bojongasih,4.240,46.617,1.101.937,545.520,0,0
Culamega,0,0,19.564,42.004,0,0
Bojonggambir,0,0,1.319.900,1.357.000,0,0
Sodonghilir,4.100,5.420,7.500,10.950,7.750,11.300
Taraju,0,0,118.466,93.763,0,0
Salawu,7.891,12.904,4.059.769,3.957.212,0,0
Puspahiang,590,490,20.549,3.345,0,0
Tanjungjaya,0,0,31.250,7.625,0,0
Sukaraja,343,950,3.705,29.015,0,0
Salopa,526,1.000,52.029,243.700,0,0
Jatiwaras,0,165,2.542.089,2.479.436,0,17.700
Cineam,0,3.150,105.600,312.000,0,0
Karangjaya,0,800,107.586,123.370,0,850
Manonjaya,0,0,0,0,120,0
Gunungtanjung,160,0,211.175,47.988,450,0
Singaparna,0,0,0,0,0,0
Sukarame,0,20,0,70,0,0
Mangunreja,1.062,18.994,49.175,99.822,0,0
Cigalontang,8.570,8.500,48.730,97.500,39.270,24.510
Leuwisari,750,0,50.550,198.750,0,0
Sariwangi,350,207,10.195,11.564,26.400,26.124
Padakembang,0,0,1.175,1.974,0,0
Sukaratu,0,0,16,15,0,0
Cisayong,789,1.181,7.656,9.285,2.100,7.200
Sukahening,1.463,8,595,80,1.710,480
Rajapolah,0,0,0,0,0,0
Jamanis,0,0,0,0,0,0
Ciawi,0,0,94.250,92.150,0,0
Kadipaten,6.625,3.000,72.925,175.450,0,0
Pagerageung,0,0,43.900,60.200,0,0
Sukaresik,0,0,0,0,0,0
Kabupaten Tasikmalaya,53.820,112.393,10.817.427,11.136.725,92.710,164.417
