Jenis Tanaman,2022,2023,2024,2025
satuan,m,m,m,m
tahun,2022,2023,2024,2025
(1),(2),(3),(4),(5)
Jahe/Ginger,493.703,470.667,408.019,277.299
Jeruk Nipis1/Lime1,313,4.275,231,1.462
Kapulaga/Java Cardamon,8.993.672,9.156.167,4.849.826,7.817.712
Kencur/East Indian Galangal,29.574,14.178,10.238,27.708
Kunyit/Turmeric,44.558,38.822,36.182,68.953
Laos/Lengkuas/Galanga,42.344,20.315,10.868,27.516
Lempuyang/Zingiber Aromaticum,7.500,800,7,91
Lidah Buaya/Aloevera,2.620,2.100,216,243
Mahkota Dewa1/Phaleria Macrocarpa1,1.391,765,4.567,1.788
Mengkudu1/Indian Mulberry1,2.584,2.112,8.248,2.570
Temuireng/Black Turmeric,0,0,0,0
Temukunci/Chinese Keys,0,0,0,0
Temulawak/Java Turmeric,2.546,2.550,65,0
Sambiloto,130,30,10,0
Serai/ Lemongrass,19.874,18.388,17.425,26.393
