Jenis Tanaman,2022,2023,2024,2025
satuan,Kg,Kg,Kg,Kg
tahun,2022,2023,2024,2025
(1),(2),(3),(4),(5)
Jahe/Ginger,693.207,647.711,541.831,410.264
Jeruk Nipis/Lime,6.050,71.831,2.712,10.336
Kapulaga/Java Cardamon,19.752.744,17.589.031,10.817.427,11.136.725
Kencur/East Indian Galangal,44.984,21.030,14.037,34.680
Kunyit/Turmeric,68.407,58.106,53.820,112.473
Laos/Lengkuas/Galanga,66.135,30.861,16.092,40.953
Lempuyang Zingiber Aromaticum,11.650,1.223,125,150
Lidah Buaya/Aloevera,7.815,5.790,576,701
Mahkota Dewa1/Phaleria Macrocarpa1,40.764,13.920,100.488,45.794
Mengkudu/Indian Mulberry,8.358,5.024,23.106,6.268
Temuireng/Black Turmeric,0,0,0,0
Temukunci/Chinese Keys,0,0,0,0
Temulawak/Java Turmeric,3.328,3.580,85,0
Sambiloto,259,60,18,0
Serai/ Lemongrass,107.692,95.958,92.710,164.417
