Kecamatan,Kelapa Sawit/Oil Palm - 2024,Kelapa Sawit/Oil Palm - 2025,Kolom_Kosong,Kelapa/Coconut - 2024,Kelapa/Coconut - 2025
satuan,ha,ha,ha,ha,ha
tahun,2024,2025,2026,2024,2025
(1),(2),(3),,(4),(5)
Cipatujah,0,0,,"1.798,00","2.603,00"
Karangnunggal,0,0,,"2.911,00","3.413,85"
Cikalong,0,0,,"9.962,00","11.330,00"
Pancatengah,"7,59","16,42",,"1.904,00","2.425,00"
Cikatomas,0,0,,"1.262,00","1.655,05"
Cibalong,0,0,,"1.354,00","1.442,08"
Parungponteng,0,0,,"800,00","1.166,00"
Bantarkalong,0,0,,"600,00","907,50"
Bojongasih,0,0,,"264,00","321,00"
Culamega,0,0,,"125,00","165,00"
Bojonggambir,0,0,,"46,00","58,70"
Sodonghilir,0,0,,"73,00","92,69"
Taraju,0,0,,"128,00","138,00"
Salawu,0,0,,"1,12","4,00"
Puspahiang,0,0,,"78,20","87,00"
Tanjungjaya,0,0,,"207,00","476,00"
Sukaraja,0,0,,"248,00","326,00"
Salopa,0,0,,"621,00","707,30"
Jatiwaras,0,0,,"34,40","51,75"
Cineam,0,0,,"512,00","726,00"
Karangjaya,"2,77","4,99",,"130,00","298,75"
Manonjaya,0,0,,"270,00","413,00"
Gunungtanjung,0,0,,"59,30","72,81"
Singaparna,0,0,,"14,10","18,85"
Sukarame,0,0,,"24,80","65,00"
Mangunreja,0,0,,"54,10","62,00"
Cigalontang,0,0,,0,0
Leuwisari,0,0,,"103,00","153,40"
Sariwangi,0,0,,"33,10","38,70"
Padakembang,0,0,,"101,00","152,00"
Sukaratu,0,0,,"47,70","80,26"
Cisayong,0,0,,"761,00","863,00"
Sukahening,0,0,,"11,60","17,00"
Rajapolah,0,0,,"29,00","33,06"
Jamanis,0,0,,"34,10","39,50"
Ciawi,0,0,,"60,40","83,25"
Kadipaten,0,0,,"103,00","132,00"
Pagerageung,0,0,,"360,00","386,00"
Sukaresik,0,0,,"641,00","689,60"
Kabupaten Tasikmalaya,"10,36","21,41",,"25.765,92","31.694,10"
