Kecamatan District,Kakao/Cocoa,Kolom_Kosong,.1,TeLbaud/aS/upgeaprp cearne,.2
satuan,ha,-,ha,ha,ha
tahun,2026,-,2026,2026,2026
,20224,22002225*,,20224,22002225*
(1),(10),(11),,(12),(13)
Cipatujah,0.32,1.30,,4.23,7.35
Karangnunggal,2.70,26.00,,94.87,161.25
Cikalong,-,-,,-,-
Pancatengah,85.09,241.50,,8.55,14.00
Cikatomas,9.01,40.00,,15.58,29.54
Cibalong,33.67,109.50,,29.16,52.30
Parungponteng,14.66,38.00,,18.59,30.00
Bantarkalong,2.49,22.27,,13.46,28.00
Bojongasih,-,-,,-,-
Culamega,0.20,9.15,,33.24,36.50
Bojonggambir,-,-,,9.51,16.00
Sodonghilir,9.10,12.50,,13.02,17.00
Taraju,-,-,,-,-
Salawu,3.10,7.00,,0.57,5.00
Puspahiang,9.45,25.00,,-,-
Tanjungjaya,-,0.50,,5.17,18.25
SukaraKjaabupaten Tasikmalaya,2.02,3.50,,10.26,13.00
Salopa,15.10,50.00,,15.28,37.00
Jatiwaras,2.57,20.00,,13.45,17.52
Cineam,11.36,26.00,,21.62,38.00
