Kecamatan,Kakao/Cocoa - 2024,Kakao/Cocoa - 2025,Kolom_Kosong,Lada/pepper - 2024,Lada/pepper - 2025
satuan,ha,ha,ha,ha,ha
tahun,2024,2025,2026,2024,2025
(1),(10),(11),,(12),(13)
Karangjaya,3.16,8.20,,12.51,30.09
Manonjaya,26.35,40.28,,0,0
Gunungtanjung,3.21,9.58,,59.84,75.00
Singaparna,0,0,,0,0
Sukarame,0,0,,0,0
Mangunreja,0,0,,0,0
Cigalontang,0,0,,0,0
Leuwisari,3.23,10.45,,7.05,18.25
Sariwangi,0.29,10.00,,3.00,5.00
Padakembang,1.07,3.50,,18.90,32.00
Sukaratu,0,0,,0,0
Cisayong,0,0,,0,0
Sukahening,4.70,12.50,,0,0
Rajapolah,0,0,,0,0
Jamanis,0,0,,8.00,10.00
Ciawi,0,0,,0.00,0.00
Kadipaten,14.27,25.00,,41.91,52.70
Pagerageung,2.63,83.90,,0,0
Sukaresik,0,0,,8.59,15.00
Kabupaten Tasikmalaya,"58,91","203,41",,"159,80","238,04"
