Kecamatan,Teh/Tea - 2024,Teh/Tea - 2025,Kolom_Kosong,Tembakau/Tobacco - 2024,Tembakau/Tobacco - 2025
satuan,ha,ha,ha,ha,ha
tahun,2024,2025,2026,2024,2025
(1),(14),(15),,(16),(17)
Cipatujah,0,0.00,,,
Karangnunggal,1.16,31.30,,,
Cikalong,0,0.00,,,
Pancatengah,0,0.00,,,
Cikatomas,0,0,,,
Cibalong,0,0,,,
Parungponteng,0,0,,,
Bantarkalong,0,0,,,
Bojongasih,0,0,,,
Culamega,169.01,218.99,,,
Bojonggambir,"1,003.13","1,294.13",,,
Sodonghilir,"1,025.00","1,999.00",,,
Taraju,"3,760.14","4,211.00",,,
Salawu,174.20,401.11,,,
Puspahiang,102.36,128.00,,,
Tanjungjaya,0,0,,,7.00
Sukaraja,0,0,,,
Salopa,0,0,,,
Jatiwaras,0,0,,,
Cineam,0,0,,,
Karangjaya,0,0,,,
Manonjaya,0,0,,,
Gunungtanjung,0,0,,,
Singaparna,0,0,,,
Sukarame,0,0,,,
Mangunreja,2.38,10.43,,,
Cigalontang,95.00,95.00,,,
Leuwisari,7.39,119.00,,,
Sariwangi,35.00,46.00,,,
Padakembang,0,0,,,
Sukaratu,0,0,,,
Cisayong,21.00,30.00,,1.00,
Sukahening,33.75,5.0,,1.00,1.00
Rajapolah,0,0,,1.00,1.00
Jamanis,0,0,,,
Ciawi,0,0,,,
Kadipaten,2.25,13.00,,3.00,3.00
Pagerageung,100.00,210.06,,2.00,2.00
Sukaresik,0,0,,,
Kabupaten Tasikmalaya,"6.531,77","8.812,02",,8,14
