Kecamatan,Karet/Rubber - 2024,Karet/Rubber - 2025,Kolom_Kosong,Kopi/Coffee - 2024,Kopi/Coffee - 2025
satuan,Ton,Ton,Ton,Ton,Ton
tahun,2024,2025,2026,2024,2025
(1),(6),(7),,(8),(9)
Cipatujah,"78,25","74,34",,0,0
Karangnunggal,"5,53","5,25",,"17,35","0,14"
Cikalong,0,0,,"11,83",0
Pancatengah,"3,71","3,52",,"11,30","65,00"
Cikatomas,"0,48","0,46",,"11,08","0,09"
Cibalong,0,0,,"422,80",0
Parungponteng,0,0,,"61,76",0
Bantarkalong,"6,31","5,99",,"31,75",0
Bojongasih,"7,69","7,31",,"43,14","0,13"
Culamega,"1,67","1,59",,"0,64","0,08"
Bojonggambir,"0,42","0,40",,"48,23","28,35"
Sodonghilir,"2,27",0,,"50,30","0,52"
Taraju,0,0,,"25,63","20,51"
Salawu,0,0,,"83,20","0,96"
Puspahiang,0,0,,"79,11",0
Tanjungjaya,0,0,,"5,24",0
Sukaraja,"2,23","2,12",,"11,85","0,21"
Salopa,"29,61","28,13",,"101,62",0
Jatiwaras,"0,95","0,90",,"10,39",0
Cineam,"0,75","0,71",,"138,49",0
Karangjaya,"23,15","23,38",,"19,84",0
Manonjaya,"0,75","0,76",,"0,66",0
Gunungtanjung,"0,78","0,79",,"11,87",0
Singaparna,0,0,,0,0
Sukarame,0,0,,0,0
Mangunreja,0,0,,"17,03","0,06"
Cigalontang,0,0,,"57,08","44,67"
Leuwisari,0,0,,"41,23","0,04"
Sariwangi,0,0,,"3,03","0,40"
Padakembang,0,0,,"8,30","0,47"
Sukaratu,0,0,,"0,00","0,00"
Cisayong,0,0,,"11,71","0,12"
Sukahening,0,0,,"15,36","0,09"
Rajapolah,0,0,,0,0
Jamanis,0,0,,"1,19",0
Ciawi,0,0,,"0,11","0,09"
Kadipaten,0,0,,"54,55","0,20"
Pagerageung,0,0,,"13,46","9,76"
Sukaresik,0,0,,0,0
Kabupaten Tasikmalaya,"164,55","155,65",,"1.421,13","171,89"
