Kecamatan,Kakao/Cocoa - 2024,Kakao/Cocoa - 2025,Kolom_Kosong,Tebu/Sugar cane - 2024,Tebu/Sugar cane - 2025
satuan,Ton,Ton,Ton,Ton,Ton
tahun,2024,2025,2026,2024,2025
(1),(10),(11),,(12),(13)
Cipatujah,"0,10","0,05",,,
Karangnunggal,"1,80","0,87",,,
Cikalong,0,0,,,
Pancatengah,"83,03","39,94",,,
Cikatomas,"5,44","2,62",,,
Cibalong,"23,80","11,45",,,
Parungponteng,"8,68","4,17",,,
Bantarkalong,"1,24","0,60",,,
Bojongasih,0,0,,,
Culamega,"0,19","0,09",,,
Bojonggambir,0,0,,,
Sodonghilir,"6,10","2,94",,,
Taraju,0,0,,,
Salawu,"1,04","0,50",,,
Puspahiang,"8,89","4,28",,,
Tanjungjaya,0,0,,,
Sukaraja,"1,35","0,65",,,
Salopa,"11,85","5,70",,,
Jatiwaras,"2,29","1,10",,,
Cineam,"5,31","2,55",,,
Karangjaya,"2,52","1,21",,,
Manonjaya,"34,41","16,55",,,
Gunungtanjung,"1,93","0,93",,,
Singaparna,0,0,,,
Sukarame,0,0,,,
Mangunreja,0,0,,,
Cigalontang,0,0,,,
Leuwisari,"2,05","0,99",,,
Sariwangi,"0,24","0,11",,,
Padakembang,"0,62","0,30",,,
Sukaratu,0,"0,90",,,
Cisayong,0,0,,,
Sukahening,"2,97","1,43",,,
Rajapolah,0,0,,,
Jamanis,0,0,,,
Ciawi,0,0,,,
Kadipaten,"1,7","7,67",,,
Pagerageung,"2,19","1,05",,,
Sukaresik,0,0,,,
Kabupaten Tasikmalaya,"209,74","108,65",,,
