Kecamatan,Teh/Tea - 2024,Teh/Tea - 2025,Kolom_Kosong,Lada/pepper - 2024,Lada/pepper - 2025
satuan,Ton,Ton,Ton,Ton,Ton
tahun,2024,2025,2026,2024,2025
(1),(14),(15),,(16),(17)
Cipatujah,,,,"4,96","4,96"
Karangnunggal,,,,"88,94","88,94"
Cikalong,,,,"0,00","0,00"
Pancatengah,,,,"6,66","6,66"
Cikatomas,,,,"13,42","13,42"
Cibalong,,,,"23,14","22,14"
Parungponteng,,,,"19,54","16,20"
Bantarkalong,,,,"9,26","9,26"
Bojongasih,,,,"0,00","0,00"
Culamega,,,,"36,24","34,23"
Bojonggambir,,,,"8,48","8,48"
Sodonghilir,,,,"9,62","9,62"
Taraju,,,,"0,00","0,00"
Salawu,,,,"0,57","0,57"
Puspahiang,,,,"0,00","0,00"
Tanjungjaya,,,,"2,96","2,96"
Sukaraja,,,,"7,43","7,43"
Salopa,,,,"17,46","17,46"
Jatiwaras,,,,"11,32","11,32"
Cineam,,,,"13,82","13,82"
Karangjaya,,,,"10,50","10,50"
Manonjaya,,,,"0,00","0,00"
Gunungtanjung,,,,"41,97","41,97"
Singaparna,,,,"0,00","0,00"
Sukarame,,,,"0,00","0,00"
Mangunreja,,,,"0,00","0,00"
Cigalontang,,,,"0,00","0,00"
Leuwisari,,,,"6,06","6,06"
Sariwangi,,,,"2,26","2,26"
Padakembang,,,,"13,34","13,34"
Sukaratu,,,,"0,00","0,00"
Cisayong,,,,"0,00","0,00"
Sukahening,,,,"0,00","0,00"
Rajapolah,,,,"0,00","0,00"
Jamanis,,,,"7,49","7,49"
Ciawi,,,,"0,00","0,00"
Kadipaten,,,,"27,57","27,57"
Pagerageung,,,,"0,00","0,00"
Sukaresik,,,,"7,95","7,95"
Kabupaten Tasikmalaya,,,,"390,96","384,61"
