Jenis Tanaman,2021,2022,2023,2024,2025
satuan,ha,ha,ha,ha,ha
tahun,2021,2022,2023,2024,2025
(1),(2),(3),(4),(5),(6)
Tanaman Tahunan Perennial,,,,,
Karet/Rubber,149.61,208.34,208.34,218.88,"1,839.76"
Kelapa/Coconut,"25,694.30","25,726.71","25,726.71","25,765.92","31,694.10"
Kelapa sawit/Oil palm,8.00,10.25,10.25,10.36,21.41
Kopi Arabika/Coffee,125.00,137.32,134.88,151.01,"1,356.19"
Kopi Robusta/Coffee,"1,150.00","1,158.07","1,164.59","1,167.87","1,974.39"
Kakao/Cocoa,231.00,245.27,255.72,259.75,835.63
Teh/Tea,,,,,
Jambu mete/Cashew nut,,,,,
Pala/Nutmeg,,,,,
Lada/Pepper,444.50,465.46,465.39,466.36,758.75
Tanaman Semusim Seasonal,,,,,
Tebu/Sugar cane,,,,,
Tembakau/Tobacco,,,,,
Nilam/Patchouli,,,,,
