Jenis Tanaman,2021,2022,2023,2024,2025
satuan,Ton,Ton,Ton,Ton,Ton
tahun,2021,2022,2023,2024,2025
(1),(2),(3),(4),(5),(6)
Tanaman Tahunan Perennial,,,,,
Karet/Rubber,229.97,58.06,162.85,164.80,156.57
Kelapa/Coconut,"27,574.35","27,263.57","27,289.99","27,595.25","28,022.96"
Kelapa sawit/Oil palm,67.30,68.21,67.00,67.81,65.00
Kopi Arabika/Coffee,96.86,125.64,125.91,133.62,106.90
Kopi Robusta/Coffee,"1,390.10","1,257.19","1,272.07","1,287.51","1,030.01"
Kakao/Cocoa,175.47,190.00,208.05,219.81,108.64
Teh/Tea,,,,,
Jambu mete/Cashew nut,,,,,
Pala/Nutmeg,,,,,
Lada/Pepper,314.83,382.85,385.84,390.96,384.62
Tanaman Semusim Seasonal,,,,,
Tebu/Sugar cane,,,,,
Tembakau/Tobacco,,,,,
Nilam/Patchouli,,,,,
