Kecamatan,Sapi Perah Dairy - 2024,Sapi Perah Dairy - 2025,Sapi Potong Beef - 2024,Sapi Potong Beef - 2025,Kerbau Buffalo - 2024,Kerbau Buffalo - 2025
satuan,-,-,-,-,-,-
tahun,2024,2025,2024,2025,2024,2025
(1),(2),(3),(4),(5),(6),(7)
Cipatujah,0,0,2.582,2.595,148,147
Karangnunggal,0,0,1.406,1.430,73,73
Cikalong,0,0,3.341,3.412,43,43
Pancatengah,0,0,2.691,2.731,49,49
Cikatomas,0,0,2.889,2.950,80,78
Cibalong,0,0,1.208,1.249,8,8
Parungponteng,0,0,1.480,1.503,18,18
Bantarkalong,0,0,605,619,71,72
Bojongasih,0,0,1.255,1.297,3,3
Culamega,0,0,73,72,127,128
Bojonggambir,0,0,203,204,96,96
Sodonghilir,0,0,1.173,1.185,215,211
Taraju,0,0,214,219,207,201
Salawu,5,5,54,5,124,121
Puspahiang,0,0,58,58,35,35
Tanjungjaya,0,0,260,266,29,29
Sukaraja,0,0,716,723,2,21
Salopa,0,0,576,584,165,164
Jatiwaras,0,0,1.880,1.916,59,59
Cineam,0,0,212,215,13,13
Karangjaya,0,0,125,129,10,10
Manonjaya,0,0,361,372,9,9
Gunungtanjung,0,0,153,155,24,24
Singaparna,0,0,95,96,25,24
Sukarame,0,0,63,64,90,8
Mangunreja,0,0,186,186,0,0
Cigalontang,0,0,210,216,228,221
Leuwisari,0,0,210,213,30,30
Sariwangi,0,0,153,153,9,9
Padakembang,0,0,53,5,30,30
Sukaratu,36,36,113,115,72,69
Cisayong,37,38,216,218,32,32
Sukahening,0,0,52,52,8,8
Rajapolah,0,0,373,380,7,7
Jamanis,0,0,101,104,0,0
Ciawi,26,26,106,109,0,0
Kadipaten,6,6,250,253,2,2
Pagerageung,"1,280","1,308",169,171,2,2
Sukaresik,0,0,95,96,0,0
,"1,440","1,469","25,960","26,420","2,111","2,084"
