Kecamatan,Kuda Horse - 2024,Kuda Horse - 2025,Kambing Goat - 2024,Kambing Goat - 2025,Domba Sheep - 2024,Domba Sheep - 2025
satuan,-,-,-,-,-,-
tahun,2024,2025,2024,2025,2024,2025
(1),(8),(9),(10),(11),(12),(13)
Cipatujah,0,0,"1,546","1,574","16,763","16,604"
Karangnunggal,0,0,"1,464","1,460","9,852","9,689"
Cikalong,0,0,345,345,"14,614","15,428"
Pancatengah,0,0,403,407,"6,235","6,367"
Cikatomas,0,0,678,682,"9,753","10,358"
Cibalong,0,0,"2,001","2,030","4,333","4,488"
Parungponteng,0,0,"2,606","2,639","1,949","2,022"
Bantarkalong,0,0,326,328,"8,561","8,588"
Bojongasih,0,0,742,752,"3,575","3,757"
Culamega,0,0,202,205,"5,441","5,575"
Bojonggambir,0,0,"4,908","4,948","11,940","12,581"
Sodonghilir,0,7,"1,956","1,976","6,241","6,234"
Taraju,0,0,961,968,"4,595","4,869"
Salawu,0,5,839,845,"5,031","4,972"
Puspahiang,0,0,255,256,"2,407","2,555"
Tanjungjaya,0,0,820,824,"2,332","2,370"
Sukaraja,0,0,"1,111","1,127","3,457","3,538"
Salopa,0,0,448,448,"4,881","4,948"
Jatiwaras,0,0,"1,016","1,031","5,240","5,465"
Cineam,0,6,109,109,841,889
Karangjaya,0,0,27,27,1.292,1.268
Manonjaya,13,1,414,415,1.808,1.771
Gunungtanjung,0,0,162,163,1.122,1.103
Singaparna,20,19,288,289,538,530
Sukarame,14,16,82,82,368,365
Mangunreja,16,16,4.866,4.910,1.307,1.290
Cigalontang,10,10,3.081,3.110,5.145,4.577
Leuwisari,23,10,421,425,910,906
Sariwangi,14,12,1.046,1.045,989,978
Padakembang,16,0,265,269,933,921
Sukaratu,0,2,107,109,1.858,1.820
Cisayong,0,3,693,695,3.055,3.006
Sukahening,0,0,96,96,912,899
Rajapolah,12,1,36,36,790,706
Jamanis,0,0,61,61,999,997
Ciawi,4,6,353,357,2.540,2.245
Kadipaten,13,8,238,241,4.249,3.736
Pagerageung,0,8,901,898,4.714,4.631
Sukaresik,0,0,6,6,1.036,1.019
,155,150,35.879,36.188,162.606,164.065
