Kecamatan,Ayam Pedaging Broiler - 2024,Ayam Pedaging Broiler - 2025,Itik Manila Duck/Muscovy Duck - 2024,Itik Manila Duck/Muscovy Duck - 2025
satuan,-,-,-,-
tahun,2024,2025,2024,2025
(1),(6),(7),(8),(9)
Cipatujah,141.600,226.200,1.631,1.757
Karangnunggal,528.600,593.400,1.091,1.082
Cikalong,42.000,348.000,1.754,1.788
Pancatengah,327.000,396.000,2.436,2.499
Cikatomas,282.000,4.656.000,2.926,2.800
Cibalong,753.600,432.000,533,563
Parungponteng,91.800,91.800,1.520,1.561
Bantarkalong,184.200,24.000,1.279,1.325
Bojongasih,433.800,360.000,2.002,1.931
Culamega,28.800,0,669,690
Bojonggambir,42.000,322.200,2.386,2.409
Sodonghilir,1.025.400,72.000,1.878,1.814
Taraju,165.600,0,1.562,1.482
Salawu,168.000,0,2.580,2.532
Puspahiang,484.200,1.098.000,1.844,1.882
Tanjungjaya,24.000,24.000,2.164,2.123
Sukaraja,12.000,12.000,2.367,2.404
Salopa,303.000,603.000,891,914
Jatiwaras,216.000,0,2.363,2.444
Cineam,385.200,54.000,4.882,5.029
Karangjaya,196.200,47.400,4.120,4.424
Manonjaya,75.000,348.000,3.563,3.625
Gunungtanjung,396.000,0,5.631,5.754
Singaparna,5.235.000,121.800,662,649
Sukarame,47.400,48.000,298,295
Mangunreja,321.000,564.000,4.670,4.724
Cigalontang,0,42.000,1.270,1.258
Leuwisari,109.800,168.000,3.943,3.841
Sariwangi,120.000,1.860.000,1.553,1.527
Padakembang,168.000,240.000,1.361,1.349
Sukaratu,523.800,621.000,10.749,10.589
Cisayong,438.600,531.000,7.038,7.020
Sukahening,135.000,198.000,2.067,2.035
Rajapolah,480.000,582.000,5.637,5.962
Jamanis,211.200,253.200,5.141,5.355
Ciawi,310.200,247.200,3.524,3.628
Kadipaten,114.000,0,4.159,4.186
Pagerageung,1.416.000,1.518.000,6.327,6.514
Sukaresik,858.000,924.000,1.709,1.750
,16.794.000,17.626.200,112.180,113.514
