Jenis Ikan,2024,2025
satuan,Ton,Ton
tahun,2024,2025
(1),(2),(3)
Tenggiri,23.386,5.385
Tongkol,30.947,33.092
Cakalang,12.361,0
Kembung,51.056,0.961
Bambangan,17.105,41.539
Pari,5.217,61.522
Manyung,40.370,101.126
Kerapu,"0,426",24.973
Kakap merah,2.706,22.152
Kakap putih,2.920,41.968
Bawal Hitam,"0,385",2.171
Bawal Putih,"0,599",11.562
Boboso,27.628,53.663
Biji Nangka,84.973,48.650
Kurisi,52.062,24.531
Cumi,0,0
Layur,256.439,160.468
Tiga Waja,73.689,63.725
Talang,29.692,4.027
Lobster,0.915,6.756
Udang jerbung,0.639,0
Peperek,43.488,35.686
Remang,0,5.978
Gurita,0,0
Gulamah,9.289,9.552
