Kecamatan,Gurame Giant Gouramy,Nilem,Lele Torpedo Shaped Catfish
satuan,Ton,Ton,Ton
tahun,2025,2025,2025
(1),(2),(3),(4)
Cipatujah,"22,31","77,28","19,92"
Karangnunggal,"19,52","67,62",0
Cikalong,"19,30","66,85",0
Pancatengah,"0,56","1,93",0
Cikatomas,"1,67","5,80",0
Cibalong,"6,69","23,18",0
Parungponteng,"3,90","13,52",0
Bantarkalong,"44,62","154,56","39,83"
Bojongasih,"1,67","5,80",0
Culamega,"1,12","3,86",0
Bojonggambir,"1,34","4,64",0
Sodonghilir,"2,79","9,66",0
Taraju,"3,90","13,52",0
Salawu,"27,89","96,60","79,66"
Puspahiang,"1,67","5,80",0
Tanjungjaya,"39,04","135,24",0
Sukaraja,"239,84","830,76","199,15"
Salopa,"2,79","9,66",0
Jatiwaras,"0,56","1,93",0
Cineam,"5,58","19,32",0
Karangjaya,"1,67","5,80",0
Manonjaya,"223,10","772,80","159,32"
Gunungtanjung,"5,58","19,32",0
Singaparna,"301,19","1.043,28","159,32"
Sukarame,"429,48","1.487,64","195,17"
Mangunreja,"245,41","850,08","876,26"
Cigalontang,"25,10","86,94",0
Leuwisari,"764,69","2.648,77","6.514,20"
Sariwangi,"563,34","1.951,32","5.994,42"
Padakembang,"674,89","2.337,72","1.194,90"
Sukaratu,"585,65","2.028,60","3.507,03"
Cisayong,"451,79","1.564,92","219,07"
Sukahening,"211,95","734,16","99,58"
Rajapolah,"156,17","540,96","358,47"
Jamanis,"133,86","463,68","59,75"
Ciawi,"128,28","444,36","39,83"
Kadipaten,"61,35","212,52",0
Pagerageung,"72,51","251,16",0
Sukaresik,"94,82","328,44","199,15"
Kabupaten Tasikmalaya,"5.577,59","19.320,00","19.915,03"
