Kecamatan,Nila,Mas,Udang Vannamei
satuan,Ton,Ton,Ton
tahun,2025,2025,2025
(1),(5),(6),(7)
Cipatujah,"100,38","56,44","1.250,00"
Karangnunggal,"79,01","29,22","218,90"
Cikalong,"78,11","28,89","1.658,60"
Pancatengah,"2,26","0,83",0
Cikatomas,"6,77","2,50",0
Cibalong,"27,09","10,02",0
Parungponteng,"15,80","5,84",0
Bantarkalong,"180,60","66,79",0
Bojongasih,"6,77","2,50",0
Culamega,"4,52","1,67",0
Bojonggambir,"5,42","2,00",0
Sodonghilir,"11,29","4,17",0
Taraju,"26,89","9,41",0
Salawu,"112,88","41,75",0
Puspahiang,"6,77","2,50",0
Tanjungjaya,"158,03","58,44",0
Sukaraja,"970,73","359,01",0
Salopa,"11,29","4,17",0
Jatiwaras,"2,26","0,83",0
Cineam,"22,58","8,35",0
Karangjaya,"6,77","2,50",0
Manonjaya,"1.013,85","369,66",0
Gunungtanjung,"22,58","8,35",0
Singaparna,"1.319,85","681,25",0
Sukarame,"1.970,12","1.172,79",0
Mangunreja,"993,30","367,36",0
Cigalontang,"101,59","37,57",0
Leuwisari,"3.417,59","1.881,93",0
Sariwangi,"2.525,34","1.258,73",0
Padakembang,"2.932,14","1.272,76",0
Sukaratu,"2.440,94","1.037,93",0
Cisayong,"1.902,48","700,07",0
Sukahening,"857,85","317,26",0
Rajapolah,"632,10","233,77",0
Jamanis,"541,80","200,38",0
Ciawi,"519,23","192,03",0
Kadipaten,"248,33","91,84",0
Pagerageung,"293,48","108,54",0
Sukaresik,"383,78","141,93",0
Kabupaten Tasikmalaya,"23.952,57","10.771,98","3.127,50"
