Nomor,Kecamatan,2021,2022,2023,2024,2025
satuan,-,-,-,-,-,-
tahun,-,2021,2022,2023,2024,2025
,(1),(2),(3),(4),(5),(6)
1,Cipatujah,,,,,
2,Karangnunggal,,,,,
3,Cikalong,,,,,
4,Pancatengah,,,,,
5,Cikatomas,,,,,
6,Cibalong,,,,,
7,Parungponteng,,,,,
8,Bantarkalong,,,,,
9,Bojongasih,,,,,
10,Culamega,,,,,
11,Bojonggambir,,,,,
12,Sodonghilir,,,,,
13,Taraju,,,,,
14,Salawu,,,,,
15,Puspahiang,,,,,
16,Tanjungjaya,,,,,
17,Sukaraja,,,,,
18,Salopa,,,,,
19,Jatiwaras,,,,,
20,Cineam,,,,,
21,Karangjaya,,,,,
22,Manonjaya,,,,,
23,Gunungtanjung,,,,,
24,Singaparna,,,,,
25,Mangunreja,,,,,
26,Sukarame,,,,,
27,Cigalontang,,,,,
28,Leuwisari,,,,,
29,Sariwangi,,,,,
30,Padakembang,,,,,
31,Sukaratu,,,,,
32,Cisayong,,,,,
33,Sukahening,,,,,
34,Rajapolah,,,,,
35,Jamanis,,,,,
36,Ciawi,,,,,
37,Kadipaten,,,,,
38,Pagerageung,,,,,
39,Sukaresik,,,,,
,Tasikmalaya,,,,,
