Nomor,Kecamatan,Jenis Industri - Pengolahan Pangan,Jenis Industri - Kerajinan Anyaman,Jenis Industri - Tekstil
satuan,-,-,-,-
tahun,-,2026,2026,2026
,(1),(2),(3),(4)
1,Cipatujah,"1,100",9,16
2,Karangnunggal,707,4,150
3,Cikalong,615,17,31
4,Pancatengah,647,1,42
5,Cikatomas,749,3,21
6,Cibalong,524,12,28
7,Parungponteng,865,5,12
8,Bantarkalong,649,4,19
9,Bojongasih,205,0,2
10,Culamega,86,1,26
11,Bojonggambir,197,2,1
12,Sodonghilir,519,3,6
13,Taraju,372,1,10
14,Salawu,"1,158",136,39
15,Puspahiang,170,2,49
16,Tanjungjaya,298,28,42
17,Sukaraja,581,97,"1,302"
18,Salopa,746,20,17
19,Jatiwaras,558,4,6
20,Cineam,315,3,1
21,Karangjaya,111,0,1
22,Manonjaya,767,38,35
23,Gunungtanjung,298,1,12
24,Singaparna,"1,282",25,84
25,Mangunreja,347,6,25
26,Sukarame,312,3,61
27,Cigalontang,"1,014",18,21
28,Leuwisari,739,26,14
29,Sariwangi,"1,237",9,10
30,Padakembang,408,4,24
31,Sukaratu,670,3,41
32,Cisayong,898,28,48
33,Sukahening,235,8,28
34,Rajapolah,707,85,83
35,Jamanis,271,8,10
36,Ciawi,506,2,14
37,Kadipaten,492,0,9
38,Pagerageung,445,4,17
39,Sukaresik,341,1,1
,Tasikmalaya,"22,141",661,"2,388"
