Nomor,Kecamatan,Jenis Industri - Galian Bukan Logam,Jenis Industri - Pengolahan Kayu,Jenis Industri - TekstiBaja Pengolahan Logam
satuan,-,-,-,-
tahun,-,2026,2026,2026
,(1),(5),(6),(7)
1,Cipatujah,0,5,1
2,Karangnunggal,2,9,3
3,Cikalong,3,4,0
4,Pancatengah,2,1,1
5,Cikatomas,2,1,12
6,Cibalong,1,8,5
7,Parungponteng,0,7,2
8,Bantarkalong,0,2,0
9,Bojongasih,0,4,0
10,Culamega,0,0,0
11,Bojonggambir,2,1,1
12,Sodonghilir,0,4,0
13,Taraju,0,3,1
14,Salawu,1,4,16
15,Puspahiang,1,8,1
16,Tanjungjaya,1,2,3
17,Sukaraja,58,17,6
18,Salopa,0,4,4
19,Jatiwaras,0,2,2
20,Cineam,0,4,3
21,Karangjaya,0,0,0
22,Manonjaya,1,7,9
23,Gunungtanjung,1,0,1
24,Singaparna,4,27,9
25,Mangunreja,1,4,1
26,Sukarame,0,2,1
27,Cigalontang,0,6,4
28,Leuwisari,1,6,2
29,Sariwangi,0,5,1
30,Padakembang,1,3,1
31,Sukaratu,4,8,3
32,Cisayong,2,7,3
33,Sukahening,2,1,3
34,Rajapolah,9,1,31
35,Jamanis,1,5,5
36,Ciawi,0,1,4
37,Kadipaten,0,2,0
38,Pagerageung,1,3,6
39,Sukaresik,1,7,2
,Tasikmalaya,102,195,147
