Jabatan,Laki-laki,Perempuan,Jumlah
satuan,-,-,-
tahun,2025,2025,2025
(1),(2),(3),(4)
Jabatan Pimpinan Tinggi Utama Senior Executives,0,0,0
Jabatan Pimpinan Tinggi Madya Middle Executives,0,0,0
Jabatan Pimpinan Tinggi Pratama Junior Executives,2,1,23
Administrator,157,32,189
Pengawas/Supervisor,300,132,432
Eselon V/ 5th Echelon,0,0,0
Jabatan Fungsional Dosen,0,0,0
Jabatan Fungsional Guru,1.461,2.841,4.302
Jabatan Fungsional Medis,353,955,1.308
Jabatan Fungsional Teknis,257,176,433
Jabatan Fungsional Umum/Pelaksana General Functional Position,489,274,763
Kabupaten Tasikmalaya,3.019,4.411,7.450
