Kelompok Umur,Jenis Kelamin - Laki-Laki,Jenis Kelamin - Perempuan,Jenis Kelamin - Jumlah
satuan,-,-,-
tahun,-,-,-
(1),(2),(3),(4)
0–4,76.133,73.088,149.221
5–9,74.269,71.271,145.540
10–14,70.021,67.297,137.318
15–19,76.796,72.390,149.186
20–24,80.624,75.941,156.565
25–29,80.320,72.994,153.314
30–34,74.006,68.179,142.185
35–39,67.449,65.641,133.090
40–44,64.989,63.770,128.759
45–49,61.100,59.768,120.868
50–54,60.061,62.456,122.517
55–59,56.708,58.472,115.180
60–64,51.358,52.324,103.682
65–69,38.340,38.961,77.301
70–74,25.507,28.049,53.556
75+,25.828,32.087,57.915
Kabupaten Tasikmalaya,983.509,962.688,1.946.197
