Kecamatan,Guru 2/Teachers 2 - Negeri - 2024/2025,Guru 2/Teachers 2 - Negeri - 2025/2026,Guru 2/Teachers 2 - Swasta - 2024/2025,Guru 2/Teachers 2 - Swasta - 2025/2026,Guru 2/Teachers 2 - Jumlah - 2024/2025,Guru 2/Teachers 2 - Jumlah - 2025/2026
satuan,Guru,Guru,Guru,Guru,Guru,Guru
tahun,2024/2025,2025/2026,2024/2025,2025/2026,2024/2025,2025/2026
(1),(2),(3),(4),(5),(6),(7)
Cipatujah,0,0,27,30,27,30
Karangnunggal,7,6,42,43,49,49
Cikalong,0,0,32,30,32,30
Pancatengah,0,0,28,26,28,26
Cikatomas,0,0,36,34,36,34
Cibalong,0,0,28,28,28,28
Parungponteng,0,0,7,7,7,7
Bantarkalong,0,0,13,14,13,14
Bojongasih,0,0,9,10,9,10
Culamega,0,0,19,21,19,21
Bojonggambir,0,0,47,49,47,49
Sodonghilir,0,0,23,23,23,23
Taraju,0,0,14,14,14,14
Salawu,0,0,26,24,26,24
Puspahiang,0,0,14,16,14,16
Tanjungjaya,0,0,15,15,15,15
Sukaraja,0,0,39,37,39,37
Salopa,0,0,30,3,30,3
Jatiwaras,0,0,43,45,43,45
Cineam,0,0,40,42,40,42
Karangjaya,0,0,14,14,14,14
Manonjaya,7,7,50,54,57,61
Gunungtanjung,0,0,13,14,13,14
Singaparna,0,0,105,106,105,106
Sukarame,0,0,29,29,29,29
Mangunreja,0,0,52,56,52,56
Cigalontang,0,0,3,41,3,41
Leuwisari,0,0,57,58,57,58
Sariwangi,0,0,62,67,62,67
Padakembang,0,0,64,68,64,68
Sukaratu,0,0,30,36,30,36
Cisayong,0,0,46,56,46,56
Sukahening,0,0,43,38,43,38
Rajapolah,0,0,71,70,71,70
Jamanis,0,0,17,17,17,17
Ciawi,0,0,47,51,47,51
Kadipaten,0,0,10,12,10,12
Pagerageung,0,0,34,3,34,3
Sukaresik,0,0,17,17,17,17
Tasikmalaya,14,13,1.296,1.318,1.310,1.331
