Kecamatan,Sekolah/Schools - Negeri - 2024/2025,Sekolah/Schools - Negeri - 2025/2026,Sekolah/Schools,Sekolah/Schools - Swasta - 2024/2025,Sekolah/Schools - Swasta - 2025/2026,Sekolah/Schools.1,Sekolah/Schools - Jumlah - 2024/2025,Sekolah/Schools - Jumlah - 2025/2026
satuan,Sekolah,Sekolah,Sekolah,Sekolah,Sekolah,Sekolah,Sekolah,Sekolah
tahun,2024/2025,2025/2026,2026,2024/2025,2025/2026,2026,2024/2025,2025/2026
(1),(2),(3),,(4),(5),,(6),(7)
Cipatujah,0,0,,9,9,,9,9
Karangnunggal,1,1,,14,14,,15,15
Cikalong,0,0,,10,10,,10,10
Pancatengah,0,0,,9,9,,9,9
Cikatomas,0,0,,1,12,,1,12
Cibalong,0,0,,10,10,,10,10
Parungponteng,0,0,,3,3,,3,3
Bantarkalong,0,0,,3,3,,3,3
Bojongasih,0,0,,3,3,,3,3
Culamega,0,0,,7,7,,7,7
Bojonggambir,0,0,,12,12,,12,12
Sodonghilir,0,0,,8,8,,8,8
Taraju,0,0,,4,4,,4,4
Salawu,0,0,,8,8,,8,8
Puspahiang,0,0,,5,5,,5,5
Tanjungjaya,0,0,,5,5,,5,5
Sukaraja,0,0,nan,1,1,nan,1,1
Salopa,0,0,nan,1,1,nan,1,1
Jatiwaras,0,0,nan,14,14,nan,14,14
Cineam,0,0,nan,9,9,nan,9,9
Karangjaya,0,0,nan,5,5,nan,5,5
Manonjaya,1,1,nan,15,15,nan,16,16
Gunungtanjung,0,0,nan,3,3,nan,3,3
Singaparna,0,0,nan,21,2,nan,21,2
Sukarame,0,0,nan,9,9,nan,9,9
Mangunreja,0,0,nan,12,12,nan,12,12
Cigalontang,0,0,nan,12,13,nan,12,13
Leuwisari,0,0,nan,15,15,nan,15,15
Sariwangi,0,0,nan,14,14,nan,14,14
Padakembang,0,0,nan,16,17,nan,16,17
Sukaratu,0,0,nan,6,7,nan,6,7
Cisayong,0,0,nan,1,1,nan,1,1
Sukahening,0,0,nan,8,8,nan,8,8
Rajapolah,0,0,nan,12,12,nan,12,12
Jamanis,0,0,nan,5,5,nan,5,5
Ciawi,0,0,nan,12,12,nan,12,12
Kadipaten,0,0,nan,4,4,nan,4,4
Pagerageung,0,0,nan,8,8,nan,8,8
Sukaresik,0,0,nan,4,4,nan,4,4
Tasikmalaya,2,2,nan,318,313,nan,320,315
