Kecamatan,Guru Non ASN 1/Teachers1 - Negeri - 2024/2025,Guru Non ASN 1/Teachers1 - Negeri - 2025/2026,Guru Non ASN 1/Teachers1 - Swasta - 2024/2025,Guru Non ASN 1/Teachers1 - Swasta - 2025/2026,Guru Non ASN 1/Teachers1 - Jumlah - 2024/2025,Guru Non ASN 1/Teachers1 - Jumlah - 2025/2026,Guru Non ASN 1/Teachers1,Guru Non ASN 1/Teachers1.1
satuan,Guru,Guru,Guru,Guru,Guru,Guru,Guru,Guru
tahun,2024/2025,2025/2026,2024/2025,2025/2026,2024/2025,2025/2026,2026,2026
(1),(2),(3),(4),(5),(6),(7),,
Cipatujah,,,,,,,nan,nan
Karangnunggal,,,,,,,nan,nan
Cikalong,,,,,,,nan,nan
Pancatengah,,,,,,,nan,nan
Cikatomas,,,,,,,nan,nan
Cibalong,,,,,,,nan,nan
Parungponteng,,,,,,,nan,nan
Bantarkalong,,,,,,,nan,nan
Bojongasih,,,,,,,nan,nan
Culamega,,,,,,,nan,nan
Bojonggambir,,,,,,,nan,nan
Sodonghilir,,,,,,,nan,nan
Taraju,,,,,,,nan,nan
Salawu,,,,,,,nan,nan
Puspahiang,,,,,,,nan,nan
Tanjungjaya,,,,,,,nan,nan
Sukaraja,,,,,,,,
Salopa,,,,,,,,
Jatiwaras,,,,,,,,
Cineam,,,,,,,,
Karangjaya,,,,,,,,
Manonjaya,,,,,,,,
Gunungtanjung,,,,,,,,
Singaparna,,,,,,,,
Sukarame,,,,,,,,
Mangunreja,,,,,,,,
Cigalontang,,,,,,,,
Leuwisari,,,,,,,,
Sariwangi,,,,,,,,
Padakembang,,,,,,,,
Sukaratu,,,,,,,,
Cisayong,,,,,,,,
Sukahening,,,,,,,,
Rajapolah,,,,,,,,
Jamanis,,,,,,,,
Ciawi,,,,,,,,
Kadipaten,,,,,,,,
Pagerageung,,,,,,,,
Sukaresik,,,,,,,,
Tasikmalaya,,,,,,,,
