Kecamatan,Sekolah/Schools - Negeri - 2024/2025,Sekolah/Schools - Negeri - 2025/2026,Sekolah/Schools - Swasta - 2024/2025,Sekolah/Schools - Swasta - 2025/2026,Sekolah/Schools - Jumlah - 2024/2025,Sekolah/Schools - Jumlah - 2025/2026
satuan,Sekolah,Sekolah,Sekolah,Sekolah,Sekolah,Sekolah
tahun,2024/2025,2025/2026,2024/2025,2025/2026,2024/2025,2025/2026
(1),(2),(3),(4),(5),(6),(7)
Cipatujah,49,49,0,0,49,49
Karangnunggal,54,54,0,0,54,54
Cikalong,46,46,0,0,46,46
Pancatengah,32,32,0,1,32,3
Cikatomas,31,31,1,1,32,32
Cibalong,27,27,0,0,27,27
Parungponteng,25,25,0,0,25,25
Bantarkalong,23,23,0,0,23,23
Bojongasih,15,15,0,0,15,15
Culamega,18,18,0,0,18,18
Bojonggambir,37,37,0,0,37,37
Sodonghilir,45,45,0,0,45,45
Taraju,26,26,1,1,27,27
Salawu,34,34,0,0,34,34
Puspahiang,23,23,0,0,23,23
Tanjungjaya,21,21,0,0,21,21
Sukaraja,28,28,1,1,29,29
Salopa,29,29,1,1,30,30
Jatiwaras,37,37,0,0,37,37
Cineam,19,19,0,0,19,19
Karangjaya,9,9,0,0,9,9
Manonjaya,26,26,2,2,28,28
Gunungtanjung,17,17,1,1,18,18
Singaparna,27,27,2,2,29,29
Sukarame,20,20,0,0,20,20
Mangunreja,18,18,2,2,20,20
Cigalontang,48,48,0,0,48,48
Leuwisari,1,1,3,3,14,14
Sariwangi,16,16,0,0,16,16
Padakembang,16,16,2,2,18,18
Sukaratu,19,19,0,0,19,19
Cisayong,36,36,3,3,39,39
Sukahening,15,15,0,0,15,15
Rajapolah,21,21,2,2,23,23
Jamanis,17,17,0,0,17,17
Ciawi,29,29,1,1,30,30
Kadipaten,18,18,2,2,20,20
Pagerageung,3,3,0,1,3,34
Sukaresik,19,19,2,2,21,21
Tasikmalaya,994,994,26,28,1.030,1.032
