Kecamatan,Guru 1/Teachers 1 - Negeri - 2024/2025,Guru 1/Teachers 1 - Negeri - 2025/2026,Guru 1/Teachers 1 - Swasta - 2024/2025,Guru 1/Teachers 1 - Swasta - 2025/2026,Guru 1/Teachers 1 - Jumlah - 2024/2025,Guru 1/Teachers 1 - Jumlah - 2025/2026
satuan,Guru,Guru,Guru,Guru,Guru,Guru
tahun,2024/2025,2025/2026,2024/2025,2025/2026,2024/2025,2025/2026
(1),(8),(9),(10),(11),(12),(13)
Cipatujah,357,344,0,0,357,344
Karangnunggal,401,392,0,0,401,392
Cikalong,322,324,0,0,322,324
Pancatengah,243,235,0,2,243,237
Cikatomas,239,232,7,8,246,240
Cibalong,206,196,0,0,206,196
Parungponteng,184,178,0,0,184,178
Bantarkalong,186,178,0,0,186,178
Bojongasih,110,107,0,0,110,107
Culamega,133,130,0,0,133,130
Bojonggambir,242,230,0,0,242,230
Sodonghilir,352,339,0,0,352,339
Taraju,182,172,5,8,187,180
Salawu,254,253,0,0,254,253
Puspahiang,152,151,0,0,152,151
Tanjungjaya,165,164,0,0,165,164
Sukaraja,193,192,3,4,196,196
Salopa,214,216,7,9,221,225
Jatiwaras,262,249,0,0,262,249
Cineam,147,137,0,0,147,137
Karangjaya,64,60,0,0,64,60
Manonjaya,275,262,1,12,286,274
Gunungtanjung,133,128,4,4,137,132
Singaparna,286,288,29,3,315,321
Sukarame,159,154,0,0,159,154
Mangunreja,140,134,10,25,150,159
Cigalontang,329,332,0,0,329,332
Leuwisari,127,125,31,46,158,171
Sariwangi,135,130,0,0,135,130
Padakembang,150,148,19,20,169,168
Sukaratu,165,161,0,0,165,161
Cisayong,253,252,32,3,285,285
Sukahening,128,122,0,0,128,122
Rajapolah,211,206,39,42,250,248
Jamanis,150,145,0,0,150,145
Ciawi,267,261,10,14,277,275
Kadipaten,155,148,19,25,174,173
Pagerageung,240,237,0,4,240,241
Sukaresik,155,151,15,18,170,169
Tasikmalaya,8.066,7.863,231,247,8.307,8.170
