Kecamatan,Murid/Pupils - Negeri - 2024/2025,Murid/Pupils - Negeri - 2025/2026,Murid/Pupils - Swasta - 2024/2025,Murid/Pupils - Swasta - 2025/2026,Murid/Pupils - Jumlah - 2024/2025,Murid/Pupils - Jumlah - 2025/2026
satuan,Siswa,Siswa,Siswa,Siswa,Siswa,Siswa
tahun,2024/2025,2025/2026,2024/2025,2025/2026,2024/2025,2025/2026
(1),(14),(15),(16),(17),(18),(19)
Cipatujah,5.942,5.880,0,0,5.942,5.880
Karangnunggal,7.206,7.155,0,0,7.206,7.155
Cikalong,5.656,5.541,0,0,5.656,5.541
Pancatengah,3.910,3.880,0,26,3.910,3.906
Cikatomas,4.225,4.143,97,9,4.322,4.242
Cibalong,2.537,2.523,0,0,2.537,2.523
Parungponteng,2.622,2.586,0,0,2.622,2.586
Bantarkalong,2.841,2.821,0,0,2.841,2.821
Bojongasih,1.528,1.463,0,0,1.528,1.463
Culamega,2.273,2.226,0,0,2.273,2.226
Bojonggambir,4.019,4.041,0,0,4.019,4.041
Sodonghilir,5.196,5.195,0,0,5.196,5.195
Taraju,3.651,3.597,63,67,3.714,3.664
Salawu,5.060,5.035,0,0,5.060,5.035
Puspahiang,2.850,2.832,0,0,2.850,2.832
Tanjungjaya,3.372,3.364,0,0,3.372,3.364
Sukaraja,4.677,4.497,49,7,4.726,4.574
Salopa,3.735,3.736,100,86,3.835,3.822
Jatiwaras,4.225,4.236,0,0,4.225,4.236
Cineam,2.059,2.063,0,0,2.059,2.063
Karangjaya,874,874,0,0,874,874
Manonjaya,5.088,5.119,178,159,5.266,5.278
Gunungtanjung,2.409,2.425,76,6,2.485,2.491
Singaparna,5.489,5.521,448,461,5.937,5.982
Sukarame,3.482,3.423,0,0,3.482,3.423
Mangunreja,3.349,3.346,284,376,3.633,3.722
Cigalontang,6.447,6.327,0,0,6.447,6.327
Leuwisari,2.976,2.935,666,621,3.642,3.556
Sariwangi,2.568,2.589,0,0,2.568,2.589
Padakembang,3.052,3.126,235,230,3.287,3.356
Sukaratu,3.590,3.597,0,0,3.590,3.597
Cisayong,4.948,4.967,519,542,5.467,5.509
Sukahening,2.411,2.407,0,0,2.411,2.407
Rajapolah,4.263,4.215,572,628,4.835,4.843
Jamanis,2.665,2.657,0,0,2.665,2.657
Ciawi,5.522,5.518,122,105,5.644,5.623
Kadipaten,3.708,3.716,513,532,4.221,4.248
Pagerageung,4.495,4.476,0,17,4.495,4.493
Sukaresik,2.753,2.755,152,200,2.905,2.955
Tasikmalaya,147.673,146.807,4.074,4.072,151.747,151.099
