Nomor,Kecamatan,Sekolah/Schools - 2024/2025,Sekolah/Schools - 2025/2026,Guru/Teachers - 2024/2025,Guru/Teachers - 2025/2026,Murid/Pupils - 2024/2025,Murid/Pupils - 2025/2026
satuan,-,Sekolah,Sekolah,Guru,Guru,Siswa,Siswa
tahun,-,2024/2025,2025/2026,2024/2025,2025/2026,2024/2025,2025/2026
,(1),(2),(3),(4),(5),(6),(7)
1,Cipatujah,8,8,57,60,995,973
2,Karangnunggal,1,1,6,6,114,125
3,Cikalong,10,10,83,84,1.374,1.310
4,Pancatengah,12,12,92,94,1.396,1.417
5,Cikatomas,8,8,49,53,768,761
6,Cibalong,2,2,1,1,124,125
7,Parungponteng,8,8,53,51,608,607
8,Bantarkalong,5,5,37,39,636,665
9,Bojongasih,5,5,29,34,394,420
10,Culamega,2,2,1,1,157,151
11,Bojonggambir,3,3,18,17,339,348
12,Sodonghilir,1,1,81,83,1.196,1.165
13,Taraju,3,3,20,23,407,406
14,Salawu,10,10,69,75,969,962
15,Puspahiang,4,4,25,24,290,289
16,Tanjungjaya,9,9,69,63,1.356,1.394
17,Sukaraja,4,4,29,29,540,544
18,Salopa,1,1,80,75,1.272,1.249
19,Jatiwaras,5,5,40,42,704,654
20,Cineam,6,6,4,45,591,598
21,Karangjaya,1,1,6,5,57,59
22,Manonjaya,9,9,83,80,1.103,1.080
23,Gunungtanjung,4,4,30,31,429,416
24,Singaparna,12,12,122,126,1.894,1.858
25,Sukarame,6,6,53,53,790,769
26,Mangunreja,2,2,20,21,394,334
27,Cigalontang,5,5,40,40,786,742
28,Leuwisari,3,3,29,28,541,518
29,Sariwangi,5,5,56,56,809,813
30,Padakembang,4,4,36,3,628,607
31,Sukaratu,1,1,95,92,1.701,1.674
32,Cisayong,2,2,17,17,283,280
33,Sukahening,4,4,28,25,428,450
34,Rajapolah,2,2,19,19,402,420
35,Jamanis,6,6,54,58,941,871
36,Ciawi,4,4,3,31,721,713
37,Kadipaten,5,5,37,38,740,766
38,Pagerageung,1,1,81,83,988,984
39,Sukaresik,6,6,70,71,987,963
,Tasikmalaya,229,229,1.812,1.826,28.852,28.480
