Kecamatan,Sekolah/Schools - Negeri - 2024/2025,Sekolah/Schools - Negeri - 2025/2026,Sekolah/Schools - Swasta - 2024/2025,Sekolah/Schools - Swasta - 2025/2026,Sekolah/Schools - Jumlah - 2024/2025,Sekolah/Schools - Jumlah - 2025/2026
satuan,Sekolah,Sekolah,Sekolah,Sekolah,Sekolah,Sekolah
tahun,2024/2025,2025/2026,2024/2025,2025/2026,2024/2025,2025/2026
(1),(2),(3),(4),(5),(6),(7)
Cipatujah,10,10,1,2,1,12
Karangnunggal,6,6,8,8,14,14
Cikalong,6,6,5,6,1,12
Pancatengah,6,6,5,6,1,12
Cikatomas,5,5,3,3,8,8
Cibalong,3,3,6,6,9,9
Parungponteng,1,1,4,5,5,6
Bantarkalong,4,4,3,3,7,7
Bojongasih,3,3,2,2,5,5
Culamega,6,6,0,0,6,6
Bojonggambir,5,5,5,5,10,10
Sodonghilir,7,7,2,2,9,9
Taraju,4,4,1,1,5,5
Salawu,4,4,5,5,9,9
Puspahiang,3,3,2,2,5,5
Tanjungjaya,1,1,6,6,7,7
Sukaraja,3,3,0,0,3,3
Salopa,4,4,9,9,13,13
Jatiwaras,4,4,3,3,7,7
Cineam,3,3,4,4,7,7
Karangjaya,3,3,0,0,3,3
Manonjaya,4,4,6,6,10,10
Gunungtanjung,3,3,2,2,5,5
Singaparna,2,2,8,9,10,1
Sukarame,1,1,6,6,7,7
Mangunreja,3,3,4,4,7,7
Cigalontang,6,6,10,10,16,16
Leuwisari,1,1,9,9,10,10
Sariwangi,2,2,8,8,10,10
Padakembang,1,1,5,4,6,5
Sukaratu,3,3,9,9,12,12
Cisayong,3,3,4,4,7,7
Sukahening,3,3,4,4,7,7
Rajapolah,2,2,5,5,7,7
Jamanis,1,1,6,6,7,7
Ciawi,3,3,2,2,5,5
Kadipaten,4,4,5,5,9,9
Pagerageung,3,3,3,3,6,6
Sukaresik,1,1,1,1,2,2
Tasikmalaya,137,137,171,175,278,302
