Kecamatan,Guru 1/Teachers 1 - Negeri - 2024/2025,Guru 1/Teachers 1 - Negeri - 2025/2026,Guru 1/Teachers 1 - Swasta - 2024/2025,Guru 1/Teachers 1 - Swasta - 2025/2026,Guru 1/Teachers 1 - Jumlah - 2024/2025,Guru 1/Teachers 1 - Jumlah - 2025/2026
satuan,Guru,Guru,Guru,Guru,Guru,Guru
tahun,2024/2025,2025/2026,2024/2025,2025/2026,2024/2025,2025/2026
(1),(8),(9),(10),(11),(12),(13)
Cipatujah,112,109,8,15,120,124
Karangnunggal,8,90,70,79,158,169
Cikalong,69,64,4,48,113,112
Pancatengah,60,58,47,61,107,119
Cikatomas,61,57,15,14,76,71
Cibalong,61,58,4,56,105,114
Parungponteng,14,14,37,45,51,59
Bantarkalong,64,60,23,31,87,91
Bojongasih,28,29,6,14,34,43
Culamega,37,35,0,0,37,35
Bojonggambir,47,47,39,38,86,85
Sodonghilir,85,80,25,29,110,109
Taraju,46,46,8,8,54,54
Salawu,83,80,43,43,126,123
Puspahiang,60,57,13,23,73,80
Tanjungjaya,24,20,49,56,73,76
Sukaraja,74,74,0,0,74,74
Salopa,60,5,91,98,151,153
Jatiwaras,54,52,25,29,79,81
Cineam,51,50,51,59,102,109
Karangjaya,31,28,0,0,31,28
Manonjaya,107,100,84,89,191,189
Gunungtanjung,4,35,17,18,61,53
Singaparna,83,79,101,113,184,192
Sukarame,37,37,109,125,146,162
Mangunreja,62,60,40,4,102,104
Cigalontang,84,82,79,92,163,174
Leuwisari,17,16,8,102,105,118
Sariwangi,4,41,80,93,124,134
Padakembang,40,37,41,38,81,75
Sukaratu,72,78,73,72,145,150
Cisayong,71,6,38,41,109,107
Sukahening,61,61,28,31,89,92
Rajapolah,69,68,90,100,159,168
Jamanis,23,21,49,5,72,76
Ciawi,97,98,3,32,130,130
Kadipaten,63,60,36,48,9,108
Pagerageung,70,69,28,30,98,9
Sukaresik,3,29,14,16,47,45
Tasikmalaya,2.096,2.090,1.476,1.795,3.862,3.995
