Kecamatan,Murid/Pupils - Negeri - 2024/2025,Murid/Pupils - Negeri - 2025/2026,Murid/Pupils - Swasta - 2024/2025,Murid/Pupils - Swasta - 2025/2026,Murid/Pupils - Jumlah - 2024/2025,Murid/Pupils - Jumlah - 2025/2026
satuan,Siswa,Siswa,Siswa,Siswa,Siswa,Siswa
tahun,2024/2025,2025/2026,2024/2025,2025/2026,2024/2025,2025/2026
(1),(14),(15),(16),(17),(18),(19)
Cipatujah,2.198,2.132,89,118,2.287,2.250
Karangnunggal,1.649,1.704,867,892,2.516,2.596
Cikalong,1.395,1.311,623,762,2.018,2.073
Pancatengah,800,750,449,458,1.249,1.208
Cikatomas,976,980,250,254,1.226,1.234
Cibalong,1.113,1.105,525,541,1.638,1.646
Parungponteng,280,281,276,315,556,596
Bantarkalong,890,912,462,447,1.352,1.359
Bojongasih,410,371,148,121,558,492
Culamega,536,514,0,0,536,514
Bojonggambir,690,651,388,348,1.078,999
Sodonghilir,1.413,1.459,424,480,1.837,1.939
Taraju,936,954,112,114,1.048,1.068
Salawu,1.300,1.277,669,613,1.969,1.890
Puspahiang,1.031,1.043,188,172,1.219,1.215
Tanjungjaya,560,561,622,669,1.182,1.230
Sukaraja,1.804,1.854,0,0,1.804,1.854
Salopa,870,853,1.240,1.275,2.110,2.128
Jatiwaras,870,850,161,179,1.031,1.029
Cineam,796,825,520,470,1.316,1.295
Karangjaya,281,248,0,0,281,248
Manonjaya,1.941,1.992,1.096,947,3.037,2.939
Gunungtanjung,729,694,258,260,987,954
Singaparna,1.563,1.635,1.478,1.363,3.041,2.998
Sukarame,756,786,1.884,1.883,2.640,2.669
Mangunreja,1.106,1.092,513,536,1.619,1.628
Cigalontang,1.261,1.254,909,923,2.170,2.177
Leuwisari,248,236,1.387,1.295,1.635,1.531
Sariwangi,738,676,1.178,1.206,1.916,1.882
Padakembang,840,895,493,524,1.333,1.419
Sukaratu,1.676,1.666,593,566,2.269,2.232
Cisayong,1.318,1.315,550,507,1.868,1.822
Sukahening,988,987,445,430,1.433,1.417
Rajapolah,1.303,1.327,1.991,2.059,3.294,3.386
Jamanis,494,486,720,769,1.214,1.255
Ciawi,2.265,2.246,711,618,2.976,2.864
Kadipaten,1.000,1.048,424,409,1.424,1.457
Pagerageung,1.405,1.445,376,406,1.781,1.851
Sukaresik,737,778,152,131,889,909
Tasikmalaya,41.166,41.193,23.171,23.060,64.337,64.253
