Kecamatan,Sekolah/Schools - Kecamatan - 2024/2025,Sekolah/Schools - Kecamatan - 2025/2026,Guru/Teachers - Kecamatan - 2024/2025,Guru/Teachers - Kecamatan - 2025/2026,Murid/Pupils - Kecamatan - 2024/2025,Murid/Pupils - Kecamatan - 2025/2026
satuan,Sekolah,Sekolah,Guru,Guru,Siswa,Siswa
tahun,2024/2025,2025/2026,2024/2025,2025/2026,2024/2025,2025/2026
(1),(2),(3),(4),(5),(6),(7)
Cipatujah,7,7,79,83,771,725
Karangnunggal,6,6,106,114,1.178,1.221
Cikalong,13,13,120,110,1.343,1.274
Pancatengah,9,9,98,91,645,592
Cikatomas,1,1,158,143,1.669,1.822
Cibalong,3,3,19,18,111,100
Parungponteng,9,9,118,115,996,1.004
Bantarkalong,6,6,85,85,662,642
Bojongasih,6,6,54,51,520,573
Culamega,1,1,15,9,135,149
Bojonggambir,8,8,84,76,914,1.028
Sodonghilir,6,6,9,95,1.286,1.269
Taraju,5,5,57,5,586,587
Salawu,6,6,69,70,899,892
Puspahiang,3,3,15,15,120,100
Tanjungjaya,7,7,98,98,1.270,1.246
Sukaraja,6,6,54,52,512,556
Salopa,9,9,130,122,2.181,2.027
Jatiwaras,9,9,97,96,867,872
Cineam,3,3,38,39,343,331
Karangjaya,1,1,10,9,74,84
Manonjaya,6,7,73,68,684,647
Gunungtanjung,1,1,17,15,186,188
Singaparna,8,8,138,136,2.038,1.932
Sukarame,7,7,192,193,3.133,3.132
Mangunreja,4,4,41,40,502,507
Cigalontang,9,9,132,129,1.440,1.371
Leuwisari,5,5,60,56,550,561
Sariwangi,5,5,74,71,746,809
Padakembang,6,6,78,76,880,831
Sukaratu,6,6,5,52,564,582
Cisayong,4,4,64,67,938,897
Sukahening,2,2,21,2,168,130
Rajapolah,3,3,38,34,438,416
Jamanis,3,3,6,62,819,799
Ciawi,3,3,3,30,699,638
Kadipaten,3,3,32,36,318,326
Pagerageung,6,6,120,120,1.388,1.349
Sukaresik,5,5,48,46,447,417
Tasikmalaya,210,211,2.655,2.729,33.020,32.626
