Kecamatan,Sekolah/Schools - Negeri - 2024/2025,Sekolah/Schools - Negeri - 2025/2026,Sekolah/Schools - Swasta - 2024/2025,Sekolah/Schools - Swasta - 2025/2026,Sekolah/Schools - Jumlah - 2024/2025,Sekolah/Schools - Jumlah - 2025/2026
satuan,Sekolah,Sekolah,Sekolah,Sekolah,Sekolah,Sekolah
tahun,2024/2025,2025/2026,2024/2025,2025/2026,2024/2025,2025/2026
(1),(2),(3),(4),(5),(6),(7)
Cipatujah,1,1,0,0,1,1
Karangnunggal,1,1,1,1,2,2
Cikalong,1,1,2,2,3,3
Pancatengah,0,0,1,1,1,1
Cikatomas,1,1,0,0,1,1
Cibalong,0,0,1,1,1,1
Parungponteng,0,0,2,2,2,2
Bantarkalong,1,1,1,1,2,2
Bojongasih,0,0,2,2,2,2
Culamega,0,0,0,0,0,0
Bojonggambir,0,0,2,2,2,2
Sodonghilir,1,1,1,1,2,2
Taraju,1,1,1,1,2,2
Salawu,0,0,3,3,3,3
Puspahiang,0,0,1,1,1,1
Tanjungjaya,0,0,2,2,2,2
Sukaraja,0,0,1,1,1,1
Salopa,1,1,3,3,4,4
Jatiwaras,1,1,0,0,1,1
Cineam,1,1,1,1,2,2
Karangjaya,0,0,0,0,0,0
Manonjaya,1,1,1,1,2,2
Gunungtanjung,0,0,1,1,1,1
Singaparna,2,2,6,6,8,8
Sukarame,0,0,2,3,2,3
Mangunreja,0,0,1,1,1,1
Cigalontang,1,1,6,6,7,7
Leuwisari,0,0,1,1,1,1
Sariwangi,1,1,2,2,3,3
Padakembang,0,0,2,2,2,2
Sukaratu,0,0,3,3,3,3
Cisayong,1,1,0,0,1,1
Sukahening,0,0,2,2,2,2
Rajapolah,0,0,3,3,3,3
Jamanis,1,1,0,0,1,1
Ciawi,1,1,1,1,2,2
Kadipaten,0,0,1,1,1,1
Pagerageung,0,0,1,1,1,1
Sukaresik,0,0,0,0,0,0
Tasikmalaya,18,18,58,59,76,77
