Kecamatan,Guru 1/Teachers 1 - Negeri - 2024/2025,Guru 1/Teachers 1 - Negeri - 2025/2026,Guru 1/Teachers 1 - Swasta - 2024/2025,Guru 1/Teachers 1 - Swasta - 2025/2026,Guru 1/Teachers 1 - Jumlah - 2024/2025,Guru 1/Teachers 1 - Jumlah - 2025/2026
satuan,Guru,Guru,Guru,Guru,Guru,Guru
tahun,2024/2025,2025/2026,2024/2025,2025/2026,2024/2025,2025/2026
(1),(2),(3),(4),(5),(6),(7)
Cipatujah,38,40,0,0,38,40
Karangnunggal,68,6,10,13,78,79
Cikalong,45,45,15,14,60,59
Pancatengah,0,0,15,14,15,14
Cikatomas,67,64,0,0,67,64
Cibalong,0,0,9,1,9,1
Parungponteng,0,0,14,13,14,13
Bantarkalong,26,25,1,1,37,36
Bojongasih,0,0,15,26,15,26
Culamega,0,0,0,0,0,0
Bojonggambir,0,0,19,20,19,20
Sodonghilir,21,20,25,25,46,45
Taraju,56,5,5,6,61,61
Salawu,0,0,45,48,45,48
Puspahiang,0,0,9,9,9,9
Tanjungjaya,0,0,13,14,13,14
Sukaraja,0,0,10,9,10,9
Salopa,14,15,34,36,48,51
Jatiwaras,61,60,0,0,61,60
Cineam,43,45,18,16,61,61
Karangjaya,0,0,0,0,0,0
Manonjaya,8,8,14,14,102,102
Gunungtanjung,0,0,5,6,5,6
Singaparna,142,135,122,126,264,261
Sukarame,0,0,43,51,43,51
Mangunreja,0,0,7,8,7,8
Cigalontang,42,43,42,52,84,95
Leuwisari,0,0,10,9,10,9
Sariwangi,51,50,18,18,69,68
Padakembang,0,0,29,30,29,30
Sukaratu,0,0,36,39,36,39
Cisayong,49,49,0,0,49,49
Sukahening,0,0,18,18,18,18
Rajapolah,0,0,48,47,48,47
Jamanis,27,27,0,0,27,27
Ciawi,91,87,6,7,97,94
Kadipaten,0,0,8,8,8,8
Pagerageung,0,0,25,27,25,27
Sukaresik,0,0,0,0,0,0
Tasikmalaya,849,724,688,725,1.627,1.649
