Kecamatan,Murid/Pupils - Negeri - 2024/2025,Murid/Pupils - Negeri - 2025/2026,Murid/Pupils - Swasta - 2024/2025,Murid/Pupils - Swasta - 2025/2026,Murid/Pupils - Jumlah - 2024/2025,Murid/Pupils - Jumlah - 2025/2026
satuan,Siswa,Siswa,Siswa,Siswa,Siswa,Siswa
tahun,2024/2025,2025/2026,2024/2025,2025/2026,2024/2025,2025/2026
(1),(2),(3),(4),(5),(6),(7)
Cipatujah,683,714,0,0,683,714
Karangnunggal,1.850,1.790,105,92,1.955,1.882
Cikalong,766,821,421,466,1.187,1.287
Pancatengah,0,0,251,257,251,257
Cikatomas,1.266,1.253,0,0,1.266,1.253
Cibalong,0,0,70,5,70,5
Parungponteng,0,0,137,141,137,141
Bantarkalong,593,417,96,101,689,518
Bojongasih,0,0,305,338,305,338
Culamega,0,0,0,0,0,0
Bojonggambir,0,0,442,427,442,427
Sodonghilir,375,314,723,691,1.098,1.005
Taraju,1.523,1.609,104,98,1.627,1.707
Salawu,0,0,1.235,1.089,1.235,1.089
Puspahiang,0,0,127,120,127,120
Tanjungjaya,0,0,149,173,149,173
Sukaraja,0,0,116,86,116,86
Salopa,206,213,965,1.017,1.171,1.230
Jatiwaras,1.138,1.198,0,0,1.138,1.198
Cineam,752,849,148,184,900,1.033
Karangjaya,0,0,0,0,0,0
Manonjaya,1.358,1.457,264,239,1.622,1.696
Gunungtanjung,0,0,6,63,6,63
Singaparna,2.174,2.350,2.261,1.760,4.435,4.110
Sukarame,0,0,481,497,481,497
Mangunreja,0,0,68,75,68,75
Cigalontang,719,730,580,572,1.299,1.302
Leuwisari,0,0,61,56,61,56
Sariwangi,1.033,1.045,187,210,1.220,1.255
Padakembang,0,0,414,354,414,354
Sukaratu,0,0,389,341,389,341
Cisayong,865,1.005,0,0,865,1.005
Sukahening,0,0,130,132,130,132
Rajapolah,0,0,806,755,806,755
Jamanis,420,546,0,0,420,546
Ciawi,1.595,1.677,97,104,1.692,1.781
Kadipaten,0,0,45,32,45,32
Pagerageung,0,0,575,579,575,579
Sukaresik,0,0,0,0,0,0
Tasikmalaya,17.316,17.988,11.758,11.054,29.074,29.042
